id_covidence,doi,pmid,pmcid,link,study,published_year,journal,title
#9507,10.1016/j.vaccine.2023.10.050,37903680,,,Ramsay 2023,2023,Vaccine,"A single blinded, phase IV, adaptive randomised control trial to evaluate the safety of coadministration of seasonal influenza and COVID-19 vaccines (The FluVID study)"
#10011,10.1177/19417381231208677,37946492,PMC11195857,,Shah 2024,2024,Sports Health,Cardiovascular Safety of the COVID-19 Vaccine in Team USA Athletes
#4716,10.1093/cid/ciad707,37992000,PMC11093669,,Athan 2024,2024,Clin Infect Dis,Safety and Immunogenicity of Bivalent RSVpreF Vaccine Coadministered With Seasonal Inactivated Influenza Vaccine in Older Adults
#10549,10.1136/bjo-2023-324503,38041661,,,Testi 2024,2024,Br J Ophthalmol,Ocular inflammatory events following COVID-19 vaccination: reporting of suspected adverse drug reactions to regulatory authorities in the UK
#9379,10.1016/j.vaccine.2023.11.050,38042698,PMC10733862,,Prasert 2024,2024,Vaccine,"Safety and immunogenicity of locally produced trivalent inactivated influenza vaccine (Tri Fluvac) in healthy Thai adults aged 18-64 years in Nakhon Phanom: A Phase III double blinded, three-arm, randomized, controlled trial"
#6336,10.1055/a-2183-5269,38053618,PMC10695705,,Gaddh 2023,2023,TH Open,Comparison of Venous Thromboembolism Outcomes after COVID-19 and Influenza Vaccinations
#4742,10.1080/22221751.2023.2292068,38054302,PMC10798284,,Aydillo 2024,2024,Emerg Microbes Infect,Concomitant administration of seasonal influenza and COVID-19 mRNA vaccines
#16349,10.1111/all.15968,38071735,,,Lee 2024,2024,Allergy,"Global burden of vaccine-associated anaphylaxis and their related vaccines, 1967-2023: A comprehensive analysis of the international pharmacovigilance database"
#7881,10.1136/bmjresp-2023-001992,38081769,PMC10729117,,Lee 2023,2023,BMJ Open Respir Res,Interstitial lung disease following COVID-19 vaccination: a disproportionality analysis using the Global Scale Pharmacovigilance Database (VigiBase)
#6771,10.1080/09286586.2023.2289990,38085757,,,Hashimoto 2024,2024,Ophthalmic Epidemiol,Ocular Adverse Events After Influenza Vaccination in Older Adults: Self-Controlled Case Series Using a Large Database in Japan
#10479,10.1111/ene.16172,38117538,PMC11236019,,Tanaka 2024,2024,Eur J Neurol,"Risk of stroke within 3, 7, 14, 21 and 30 days after influenza vaccination in Alberta, Canada: A population-based study"
#11049,10.1093/infdis/jiad594,38134393,PMC11326816,,Widagdo 2024,2024,J Infect Dis,Concomitant Administration of Ad26.RSV.preF/RSV preF Protein Vaccine and High-Dose Influenza Vaccine in Adults 65 Years and Older: A Noninferiority Trial
#6252,10.1016/j.vaccine.2023.12.074,38154990,,,Fonseca 2024,2024,Vaccine,In-Hospital influenza vaccination to prevent cardiorespiratory events in the first 45 days after acute coronary syndrome: A prespecified analysis of the VIP-ACS trial
#7501,10.1080/25785826.2023.2300163,38189429,,,Kikuchi 2024,2024,Immunol Med,Risk of disease flares after SARS-CoV-2 mRNA vaccination in patients with systemic lupus erythematosus
#13821,10.1093/cid/ciad786,38189778,,,Chandler 2024,2024,Clin Infect Dis,"Immunogenicity, Reactogenicity, and Safety of AS01E-adjuvanted RSV Prefusion F Protein-based Candidate Vaccine (RSVPreF3 OA) When Co-administered With a Seasonal Quadrivalent Influenza Vaccine in Older Adults: Results of a Phase 3, Open-Label, Randomized Controlled Trial"
#10254,10.2807/1560-7917.Es.2024.29.2.2300709,38214082,,,Smolarchuk 2024,2024,Euro Surveill,"Early influenza vaccine effectiveness estimates using routinely collected data, Alberta, Canada, 2023/24 season"
#4368,10.1016/j.ophtha.2024.01.020,38242364,,,Aftab 2024,2024,Ophthalmology,Ophthalmologic Complications in Coronavirus Disease 2019 Immunization: A National Vaccine Adverse Event Reporting System Analysis
#5483,10.1016/j.cmi.2024.01.010,38253313,,,Choi 2024,2024,Clin Microbiol Infect,Immunogenicity and safety of concomitant bivalent COVID-19 and quadrivalent influenza vaccination: implications of immune imprinting and interference
#9686,10.1080/07853890.2023.2295979,38289017,PMC10829820,,Rossier 2024,2024,Ann Med,SARS-CoV-2 vaccination in inflammatory bowel disease patients is not associated with flares: a retrospective single-centre Swiss study
#10057,10.1093/infdis/jiae035,38298125,PMC11420805,,Shaw 2024,2024,J Infect Dis,"Safety, Tolerability, and Immunogenicity of an mRNA-Based Respiratory Syncytial Virus Vaccine in Healthy Young Adults in a Phase 1 Clinical Trial"
#6253,10.14309/ajg.0000000000002702,38314748,PMC11296936,,Fontana 2024,2024,Am J Gastroenterol,ERAP-1 and ERAP-2 Variants in Liver Injury After COVID-19 mRNA Vaccination: A US Multicenter Study
#6597,10.1016/j.vaccine.2024.01.023,38341288,,,Grima 2024,2024,Vaccine,The safety of seasonal influenza vaccination among adults prescribed immune checkpoint inhibitors: A self-controlled case series study using administrative data
#5332,10.1093/infdis/jiae067,38349280,PMC11326827,,Chalkias 2024,2024,J Infect Dis,Interim Report of the Reactogenicity and Immunogenicity of Severe Acute Respiratory Syndrome Coronavirus 2 XBB-Containing Vaccines
#8294,10.1097/hep.0000000000000787,38358465,,,Maan 2024,2024,Hepatology,Extensive splanchnic vein thrombosis after SARS-CoV-2 vaccination: A Vascular Liver Disease Group (VALDIG) initiative
#10228,10.2807/1560-7917.Es.2024.29.7.2400076,38362622,,,Skowronski 2024,2024,Euro Surveill,2023/24 mid-season influenza and Omicron XBB.1.5 vaccine effectiveness estimates from the Canadian Sentinel Practitioner Surveillance Network (SPSN)
#10056,10.1093/infdis/jiae081,38385566,PMC11420773,,Shaw 2024,2024,J Infect Dis,Safety and Immunogenicity of an mRNA-Based RSV Vaccine Including a 12-Month Booster in a Phase 1 Clinical Trial in Healthy Older Adults
#8492,10.2807/1560-7917.Es.2024.29.8.2400089,38390651,,,Maurel 2024,2024,Euro Surveill,"Interim 2023/24 influenza A vaccine effectiveness: VEBIS European primary care and hospital multicentre studies, September 2023 to January 2024"
#8718,10.1007/s40264-024-01406-8,38411838,PMC11646557,,Moro 2024,2024,Drug Saf,Safety of Simultaneous Administration of Bivalent mRNA COVID-19 and Influenza Vaccines in the Vaccine Adverse Event Reporting System (VAERS)
#14416,10.2196/45536,38412008,PMC10933718,,Dreyer 2024,2024,JMIR Diabetes,COVID-19 Vaccination Reactions and Risk of Breakthrough Infections Among People With Diabetes: Cohort Study Derived From Community Reporters
#6300,10.15585/mmwr.mm7308a3,38421935,PMC10907036,,Frutos 2024,2024,MMWR Morb Mortal Wkly Rep,Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States
#11574,10.15585/mmwr.mm7308a4,38421946,PMC10907038,,Zhu 2024,2024,MMWR Morb Mortal Wkly Rep,"Interim Influenza Vaccine Effectiveness Against Laboratory-Confirmed Influenza - California, October 2023-January 2024"
#10824,10.1080/21645515.2024.2323853,38445666,PMC10936640,,Villanueva 2024,2024,Hum Vaccin Immunother,Factors influencing adverse events following COVID-19 vaccination
#8305,10.1080/21645515.2024.2322196,38448394,PMC10936612,,Machado 2024,2024,Hum Vaccin Immunother,Enhanced passive safety surveillance of high-dose and standard-dose quadrivalent inactivated split-virion influenza vaccines in Germany and Finland during the 2022/23 influenza season
#7465,10.1016/j.jaci.2024.03.001,38460680,PMC11162316,,Khalid 2024,2024,J Allergy Clin Immunol,A randomized double-blinded trial to assess recurrence of systemic allergic reactions following COVID-19 mRNA vaccination
#4362,10.1097/mnm.0000000000001833,38465449,,,Adin 2024,2024,Nucl Med Commun,Reactive axillary lymph nodes after COVID-19 mRNA vaccination: comparison of mRNA vs. attenuated whole-virus vaccines
#10138,10.1093/cid/ciae132,38465901,,,Shrestha 2024,2024,Clin Infect Dis,Effectiveness of the 2023-2024 Formulation of the COVID-19 Messenger RNA Vaccine
#10466,10.1016/j.jocmr.2024.101036,38479457,PMC11004989,,Talib 2024,2024,J Cardiovasc Magn Reson,Cardiovascular magnetic resonance imaging and clinical follow-up in patients with clinically suspected myocarditis after COVID-19 vaccination
#5917,10.1007/s40264-024-01395-8,38483767,PMC10955014,,DosSantos 2024,2024,Drug Saf,"An 8-Year Prospective, Observational, Multi-centre Post-Marketing Safety Surveillance Study Conducted in South Korea (2014-2022) Following the Introduction of GSK's Inactivated Quadrivalent Seasonal Influenza Vaccine (Fluarix Tetra) for Subjects Aged 6 Months and Older"
#8240,10.1001/jama.2024.1059,38502075,PMC10951737,,Lu 2024,2024,Jama,Stroke Risk After COVID-19 Bivalent Vaccination Among US Older Adults
#6209,10.1093/infdis/jiae140,38513368,PMC11420796,,Figueroa 2024,2024,J Infect Dis,Safety and Immunogenicity of the mRNA-1273 Coronavirus Disease 2019 Vaccine in Solid Organ Transplant Recipients
#8828,10.1080/21645515.2024.2327736,38513689,PMC10962584,,Naficy 2024,2024,Hum Vaccin Immunother,No immunological interference or concerns about safety when seasonal quadrivalent influenza vaccine is co-administered with a COVID-19 mRNA-1273 booster vaccine in adults: A randomized trial
#5870,10.1016/s1473-3099(24)00101-4,38518789,,,Dixit 2024,2024,Lancet Infect Dis,Interim safety and immunogenicity of COVID-19 omicron BA.1 variant-containing vaccine in children in the USA: an open-label non-randomised phase 3 trial
#7517,10.1016/j.jaci.2024.01.025,38520423,,,Kim 2024,2024,J Allergy Clin Immunol,"Autoimmune adverse event following COVID-19 vaccination in Seoul, South Korea"
#4993,10.1016/j.vaccine.2024.03.060,38531725,,,Biegus 2024,2024,Vaccine,The early safety profile of simultaneous vaccination against influenza and Respiratory Syncytial Virus (RSV) in patients with high-risk heart failure
#4877,10.1089/derm.2023.0379,38535725,,,Battis 2024,2024,Dermatitis,Patient-Reported Association Between COVID-19 Infection or Vaccination and Onset of Allergic Contact Dermatitis®
#5595,10.3390/vaccines12030305,38543939,PMC10976042,,Costantino 2024,2024,Vaccines,Mid-Term Estimates of Influenza Vaccine Effectiveness against the A(H1N1)pdm09 Prevalent Circulating Subtype in the 2023/24 Season: Data from the Sicilian RespiVirNet Surveillance System
#8011,10.3390/vaccines12030321,38543956,PMC10975893,,Li 2024,2024,Vaccines,Exploratory Study of the Phase IV Immunization Schedule of Quadrivalent Influenza Split-Virion Vaccine in Children Aged 3–8 Years
#8103,10.15585/mmwr.mm7312a5,38547037,PMC10986819,,Link-Gelles 2024,2024,MMWR Morb Mortal Wkly Rep,"Interim Effectiveness of Updated 2023-2024 (Monovalent XBB.1.5) COVID-19 Vaccines Against COVID-19-Associated Hospitalization Among Adults Aged ≥18 Years with Immunocompromising Conditions - VISION Network, September 2023-February 2024"
#7164,10.1080/21645515.2024.2334084,38563792,PMC10989707,,Jarrot 2024,2024,Hum Vaccin Immunother,Polymyalgia rheumatica and giant cell arteritis following COVID-19 vaccination: Results from a nationwide survey
#4849,10.1093/ofid/ofae144,38567194,PMC10986856,,Barouch 2024,2024,Open Forum Infectious Diseases,Concurrent Administration of COVID-19 and Influenza Vaccines Enhances Spike-Specific Antibody Responses
#10421,10.1001/jamanetworkopen.2024.4954,38573635,PMC11192181,,Surie 2024,2024,JAMA Netw Open,Severity of Respiratory Syncytial Virus vs COVID-19 and Influenza Among Hospitalized US Adults
#9213,10.1016/j.ebiom.2024.105103,38574407,PMC11004685,,Pattinson 2024,2024,EBioMedicine,Ipsilateral and contralateral coadministration of influenza and COVID-19 vaccines produce similar antibody responses
#4880,10.1016/j.vaccine.2024.03.061,38580516,,,Baum 2024,2024,Vaccine,Detection of SARS-CoV-2-specific mucosal antibodies in saliva following concomitant COVID-19 and influenza vaccination in the ComFluCOV trial
#4765,10.1111/1346-8138.17188,38605482,,,Baba 2024,2024,J Dermatol,Cutaneous adverse events following COVID-19 vaccination: A case series of 30 Japanese patients and a review of 93 Japanese studies
#10878,10.1093/infdis/jiae185,38606958,PMC11481295,,Walsh 2024,2024,J Infect Dis,Respiratory Syncytial Virus Prefusion F Vaccination: Antibody Persistence and Revaccination
#4695,10.1007/s13760-024-02536-7,38619748,,,A_kınTuran 2024,2024,Acta Neurol Belg,A retrospective cohort study: is COVID-19 BNT162b2 mRNA vaccination a trigger factor for cluster headache?
#11097,10.1016/j.vaccine.2024.03.078,38641496,,,Won 2024,2024,Vaccine,Safety of concomitant administration of 23-valent polysaccharide pneumococcal vaccine and influenza vaccine among the elderly
#5489,10.3346/jkms.2024.39.e146,38651226,PMC11035711,,Choi 2024,2024,J Korean Med Sci,Interim Estimates of 2023-2024 Seasonal Influenza Vaccine Effectiveness Among Adults in Korea
#14940,10.14745/ccdr.v50i12a02,38655243,PMC11037881,,Giang 2024,2024,Can Commun Dis Rep,"Canadian vaccine safety surveillance reports following immunization with seasonal influenza vaccines, 2021-2022"
#7521,10.1001/jamaophthalmol.2024.0973,38662361,PMC11046406,,Kim 2024,2024,JAMA Ophthalmol,COVID-19 Vaccine-Associated Uveitis in Patients With a History of Uveitis
#2222,10.1080/14740338.2024.2348568,38666296,,,Liu 2025,2025,Expert Opin Drug Saf,Analysis of new-onset seizures following use of COVID-19 vaccinations in children based on VAERS
#11175,10.1016/j.vaccine.2024.04.070,38670844,,,Xie 2024,2024,Vaccine,COVID-19 booster vaccine uptake and reduced risks for long-COVID: A cross-sectional study of a U.S. adult population
#9595,10.3390/vaccines12040425,38675807,PMC11054385,,Riccomi 2024,2024,Vaccines,Effects of Influenza Vaccine on the Immune Responses to SARS-CoV-2 Vaccination
#11344,10.1016/j.jri.2024.104246,38677139,,,Youngster 2024,2024,J Reprod Immunol,The effect of COVID-19 vaccination during IVF stimulation on cycle outcomes- a retrospective cohort study
#8321,10.1016/j.ajog.2024.04.028,38697336,,,Magnus 2024,2024,Am J Obstet Gynecol,COVID-19 vaccination during pregnancy is not associated with an increased risk of severe postpartum hemorrhage
#19001,10.1016/j.jvacx.2024.100489,38699157,PMC11063515,,Tani 2024,2024,Vaccine X,Reduction of adverse reactions and correlation between post-vaccination fever and specific antibody response across successive SARS-CoV-2 mRNA vaccinations
#13170,10.1016/s1473-3099(24)00215-9,38701823,,,Ares-Gómez 2024,2024,Lancet Infect Dis,"Effectiveness and impact of universal prophylaxis with nirsevimab in infants against hospitalisation for respiratory syncytial virus in Galicia, Spain: initial results of a population-based longitudinal study"
#11161,10.1016/j.ijid.2024.107080,38701913,,,Xiang 2024,2024,Int J Infect Dis,Association of COVID-19 vaccination with risks of hospitalization due to cardiovascular and other diseases: A study using data from the UK Biobank
#10101,10.1016/j.vaccine.2024.04.051,38704258,,,Shi 2024,2024,Vaccine,Assessment of potential adverse events following the 2022-2023 seasonal influenza vaccines among U.S. adults aged 65 years and older
#10264,10.1016/j.vaccine.2024.04.096,38714447,,,Soe 2024,2024,Vaccine,mRNA COVID-19 vaccine safety among older adults from the Canadian National Vaccine Safety Network
#7563,10.1016/j.jinf.2024.106177,38719110,,,Kirsebom 2024,2024,J Infect,"Effectiveness of autumn 2023 COVID-19 vaccination and residual protection of prior doses against hospitalisation in England, estimated using a test-negative case-control study"
#871,10.1016/j.gastrohep.2024.502202,38723765,,,daSilva 2025,2025,Gastroenterol Hepatol,Vaccine adherence and adverse events of the SARS-COV vaccine in patients with inflammatory bowel disease
#5982,10.1016/j.eprac.2024.05.001,38729568,,,Duskin-Bitan 2024,2024,Endocr Pract,Subacute Thyroiditis Following COVID-19 and COVID-19 Vaccination
#10032,10.1016/j.vaccine.2024.04.097,38729910,,,Shani 2024,2024,Vaccine,The association between BNT162b2 vaccinations and incidence of immune-mediated comorbidities
#6524,10.1016/s2665-9913(24)00065-1,38734019,,,Goodyear 2024,2024,Lancet Rheumatol,"Immunogenicity of third dose COVID-19 vaccine strategies in patients who are immunocompromised with suboptimal immunity following two doses (OCTAVE-DUO): an open-label, multicentre, randomised, controlled, phase 3 trial"
#11174,10.1001/jama.2024.7395,38748411,PMC11097092,,Xie 2024,2024,Jama,Mortality in Patients Hospitalized for COVID-19 vs Influenza in Fall-Winter 2023-2024
#4622,10.1016/j.vaccine.2024.05.009,38762360,PMC11252665,,AnnCostaClemens 2024,2024,Vaccine,Interchangeability of different COVID-19 vaccine platforms as booster doses: A phase 3 study mimicking real-world practice
#5520,10.1111/petr.14786,38766983,,,Churilla 2024,2024,Pediatr Transplant,Safety and infectious outcomes in pediatric kidney transplant recipients after COVID-19 vaccination: A pediatric nephrology research consortium study
#17803,10.1097/txd.0000000000001645,38769974,,,Petr 2024,2024,Transplant Direct,Safety and Immunogenicity of SARS-CoV-2 mRNA Vaccine Booster Doses in Kidney Transplant Recipients: Results of a 12-mo Follow-up From a Prospective Observational Study
#19530,10.1111/irv.13284,38773753,PMC11109477,,Whitaker 2024,2024,Influenza Other Respir Viruses,Interim 2023/2024 Season Influenza Vaccine Effectiveness in Primary and Secondary Care in the United Kingdom
#5392,10.1016/j.ijid.2024.107095,38777080,,,Chemaitelly 2024,2024,Int J Infect Dis,Association between COVID-19 vaccination and stroke: a nationwide case-control study in Qatar
#10367,10.1097/aog.0000000000005615,38781590,,,Strid 2024,2024,Obstet Gynecol,Postmenopausal Bleeding After Coronavirus Disease 2019 (COVID-19) Vaccination: Vaccine Adverse Event Reporting System
#15668,10.1002/jmv.29682,38783823,,,Jeong 2024,2024,J Med Virol,"Global and regional burden of vaccine-associated facial paralysis, 1967-2023: Findings from the WHO international pharmacovigilance database"
#4454,10.1002/hsr2.2142,38784253,PMC11112633,,Al-Haddad 2024,2024,Health Science Reports,The impact of SARS-CoV-2 mRNA vaccine on intracytoplasmic sperm injection outcomes at a fertility center in Iraq: A prospective cohort study
#28053,10.1038/s41467-024-47745-z,38802362,PMC11130197,,Copland 2024,2024,Nat Commun,Safety outcomes following COVID-19 vaccination and infection in 5.1 million children in England
#9658,10.1093/qjmed/hcae103,38806183,,,Roh 2024,2024,Qjm,A potential association between COVID-19 vaccination and development of Alzheimer's disease
#6143,10.1136/ard-2024-225869,38816065,PMC11503143,,Farisogullari 2024,2024,Ann Rheum Dis,Factors associated with disease flare following SARS-CoV-2 vaccination in people with inflammatory rheumatic and musculoskeletal diseases: results from the physician-reported EULAR Coronavirus Vaccine (COVAX) Registry
#6348,10.1002/ohn.833,38822762,,,Gallagher 2024,2024,Otolaryngol Head Neck Surg,Association of COVID-19 Vaccination With Changes in Smell and Taste
#16179,10.1016/j.xops.2024.100474,38827031,PMC11141252,,Kumar 2024,2024,Ophthalmol Sci,Risk of Recurrent Noninfectious Uveitis After Coronavirus Disease 2019 Vaccination in the United States
#7803,10.2196/47070,38833299,PMC11185909,,Lang 2024,2024,J Med Internet Res,COVID-19 Vaccine Effectiveness and Digital Pandemic Surveillance in Germany (eCOV Study): Web Application-Based Prospective Observational Cohort Study
#10952,10.3389/fphar.2024.1374320,38841369,PMC11150672,,Wang 2024,2024,Frontiers in Pharmacology,COVID-19 vaccination-related tinnitus is associated with pre-vaccination metabolic disorders
#5806,10.1097/aog.0000000000005632,38843526,,,Denoble 2024,2024,Obstet Gynecol,Coronavirus Disease 2019 (COVID-19) Vaccination and Stillbirth in the Vaccine Safety Datalink
#15013,10.1002/ski2.367,38846690,PMC11150739,,Gordon 2024,2024,Skin Health Dis,Exploring cutaneous lymphoproliferative disorders in the wake of COVID-19 vaccination
#4590,10.1093/infdis/jiae291,38848312,PMC11481330,,Amstutz 2024,2024,J Infect Dis,Antibody and T-Cell Response to Bivalent Booster SARS-CoV-2 Vaccines in People With Compromised Immune Function: COVERALL-3 Study
#9075,10.1016/j.vaccine.2024.06.009,38853036,,,Otsuki 2024,2024,Vaccine,Efficacy and safety of bivalent RSVpreF maternal vaccination to prevent RSV illness in Japanese infants: Subset analysis from the pivotal randomized phase 3 MATISSE trial
#5983,10.7326/m23-2956,38857503,,,Dutcher 2024,2024,Ann Intern Med,COVID-19 Vaccine Side Effects and Long-Term Neutralizing Antibody Response : A Prospective Cohort Study
#5560,10.1136/archdischild-2024-327153,38857952,PMC11347209,,Coma 2024,2024,Arch Dis Child,Effectiveness of nirsevimab immunoprophylaxis against respiratory syncytial virus-related outcomes in hospital and primary care settings: a retrospective cohort study in infants in Catalonia (Spain)
#5402,10.1186/s12916-024-03457-1,38858672,PMC11165729,,Chen 2024,2024,BMC Med,"Uptake, effectiveness and safety of COVID-19 vaccines in individuals at clinical risk due to immunosuppressive drug therapy or transplantation procedures: a population-based cohort study in England"
#16358,10.1002/jmv.29693,38859751,,,Lee 2024,2024,J Med Virol,Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database
#10083,10.1093/jpids/piae062,38860591,PMC11344470,,Sher 2024,2024,J Pediatric Infect Dis Soc,Bivalent Omicron BA.4/BA.5 BNT162b2 Vaccine in 6-Month- to <12-Year-Olds
#6041,10.1093/ofid/ofae287,38868305,PMC11167675,,Elbaz 2024,2024,Open Forum Infectious Diseases,Varicella-Zoster Virus-Induced Neurologic Disease After COVID-19 Vaccination: A Multicenter Observational Cohort Study
#11317,10.1186/s13293-024-00625-z,38890702,PMC11184791,,Yin 2024,2024,Biol Sex Differ,Sex and gender differences in adverse events following influenza and COVID-19 vaccination
#8844,10.1136/bmjgast-2024-001370,38897611,PMC11200233,,Nakafero 2024,2024,BMJ Open Gastroenterology,"Uptake, safety and effectiveness of inactivated influenza vaccine in inflammatory bowel disease: A UK-wide study"
#5454,10.1016/j.vaccine.2024.06.042,38897892,,,Cheng 2024,2024,Vaccine,Assessment of the herpes zoster risk among renal transplant recipients administered the influenza vaccine
#4916,10.1007/s40264-024-01449-x,38907947,PMC11399172,,Bellitto 2024,2024,Drug Saf,"What is the Safety of COVID-19 Vaccines in Immunocompromised Patients? Results from the European ""Covid Vaccine Monitor"" Active Surveillance Study"
#10883,10.1016/j.ijid.2024.107149,38909928,,,Wan 2024,2024,Int J Infect Dis,Comparative effectiveness and safety of BNT162b2 and CoronaVac in Hong Kong: A target trial emulation
#6236,10.1016/j.vaccine.2024.06.045,38910092,,,Fitzpatrick 2024,2024,Vaccine,Revaccination outcomes among adolescents and adults with suspected hypersensitivity reactions following COVID-19 vaccination: A Canadian immunization research network study
#4486,10.1007/s00431-024-05634-z,38910199,,,Alejandre 2024,2024,Eur J Pediatr,Impact of universal immunization program with monoclonal antibody nirsevimab on reducing the burden of serious bronchiolitis that need pediatric intensive care
#9740,10.3346/jkms.2024.39.e190,38915282,PMC11196855,,Ryu 2024,2024,J Korean Med Sci,Cardiovascular Safety of COVID-19 Vaccination in Patients With Cancer: A Self-Controlled Case Series Study in Korea
#11193,10.2196/53807,38916940,PMC11234065,,Xu 2024,2024,JMIR Public Health Surveill,Ischemic Stroke After Bivalent COVID-19 Vaccination: Self-Controlled Case Series Study
#5494,10.1093/cid/ciae339,38922669,,,Chong 2024,2024,Clin Infect Dis,Risks of SARS-CoV-2 JN.1 Infection and COVID-19-Associated Emergency Department Visits/Hospitalizations Following Updated Boosters and Prior Infection: A Population-Based Cohort Study
