Record,Field,User,Datetime,Comment
44,rob2_msmt3,nebasta,"2025-09-06 11:29:55","Since the outcome is hospitalization and the authors state that the treating physicians weren't aware of assignment, selecting no here"
44,ve_maternalvax,emeyerowit.montefiore.org,"2025-07-27 08:30:02","Ended Feb 2023, likely before maternal RSV vaccination available"
45,rob_domain_aensi_other,nebasta,"2025-09-06 11:45:25","Table 5 lists all solicited AEs, picked one of many for this assessment"
45,rob2_interv6,nebasta,"2025-09-06 11:47:44","per protocol analysis, but only 1 participant not administered as randomly assigned and 1 LTFU"
45,rob2_interv8,nebasta,"2025-09-06 11:49:38","guidance suggests ""some concerns"" given pattern of responses, but does not seem warranted given small number of participants affected by analysis choices (2)"
45,rob2_msmt1,nebasta,"2025-09-06 11:50:03","solicited AEs, parental report"
46,rob2_interv6,nebasta,"2025-09-06 12:03:33","figure 1, safety row"
47,rob2_interv6,nebasta,"2025-09-06 12:19:10","analysis included ""safety analysis set"""
47,rob2_random3,nebasta,"2025-09-06 12:17:18","Table 1 columns 1 and 2 is for the ""per protocol set"" not the ""safety analysis set"" - there are no concerning imbalances here, but no direct comparison specific to the safety analysis set"
49,rob_screen1,moat0011,"2025-09-03 13:40:39","pre-N vs post-N"
49,rob_screen2,moat0011,"2025-09-03 14:08:14","Compares demographic/clinical/microbio data across comparison groups, but does not adjust/control for these variables. Stat. analysis is chi-squared and Mann-Whitney U test which don't inherently control for confounding. Eligibility also not restricted."
49,ve_comparator1,emeyerowit.montefiore.org,"2025-07-27 09:10:40","6.6% of all in pre-N seasons received palivizumab (vast majority unimmunized)"
49,ve_overall_unvax_n,emeyerowit.montefiore.org,"2025-07-27 09:21:02","377 RSV PICU admissions pre N * 100/9 = 4189 total PICU admissions"
49,ve_overall_vax_n,emeyerowit.montefiore.org,"2025-07-27 09:20:22","31 RSV PICU admissions post N *100/4.3 = 721 total admissions"
50,epi_ifr_covid,emeyerowit.montefiore.org,"2025-07-27 09:28:13","In hospital mortality"
50,epi_ifr_flu,emeyerowit.montefiore.org,"2025-07-27 09:30:32","In hospital mortality"
50,epi_ifr_rsv,emeyerowit.montefiore.org,"2025-07-27 09:29:40","in hospital mortality"
50,nos_coh_2,nebasta,"2025-09-03 21:04:47","This study is comparing outcomes among children hospitalized with RSV to those hospitalized with COVID-19 and to those hospitalized with flu. With this design, there is not technically a ""non-exposed cohort"", though one could consider the COVID-19 and influenza patients ""non-exposed"" to RSV"
50,nos_coh_2,nebasta,"2025-09-03 21:11:07","Either way, it is not possible to determine if the non-RSV cohorts are ""drawn from the same community"" without knowing the epidemiology of these pathogens in this region. Results suggest the cohorts are drawn from entirely different populations."
50,nos_coh_4,nebasta,"2025-09-03 21:05:58","The outcome of interest is the clinical outcomes. I considered (ICU) admission the primary outcome."
51,ve_overall_em,emeyerowit.montefiore.org,"2025-07-27 09:40:33","Also has VE of 82.0%, 95% CI 655.6-90.2%"
52,ve_infant_em,emeyerowit.montefiore.org,"2025-07-27 09:55:14","Data is disaggregated by follow up month (time since N immunization) not by age group of interest in Table 3"
53,rob_outcome_ae,ejholmes,"2025-08-29 15:45:42","Multiple AEs studied; Most reported are reactogenicity (fever, fatigue, tenderness, etc)"
53,rob_screen1,nebasta,"2025-09-03 21:23:46","This is a follow up cohort of KIDCOVE trial participants who received an optional booster. Th AEs are reported for those who received the booster in descriptive analyses. There is no comparison group."
54,rob_screen2,nebasta,"2025-09-03 21:32:06","Described as an ecological analysis, no attempt to control for confounding."
55,date_start_month,harleen.k.marwah.gmail.com,"2025-08-12 10:40:28","out of date range"
55,epi_hospitalization_rsv,emeyerowit.montefiore.org,"2025-07-27 17:30:15","Of total cohort"
57,nos_cc_3,stodd046,"2025-09-03 14:57:56","Our study included all infants aged 12 months or younger who attended the paediatric emergency department between Oct 14, 2023, and Feb 29, 2024, and
whose nirsevimab status was known. Those without bronchiolitis or upper
respiratory tract infections were classed as controls."
57,nos_cc_3,calba1.mgh.harvard.edu,"2025-09-05 11:56:28","Anyone from community could present to ED so treating as community controls - not selected from a hospitalized population. Discussed with Clare Stoddart and Nicole Basta on 9/4 via email."
57,nos_cc_8,stodd046,"2025-09-03 15:11:22","response rate not described"
57,rob_outcome_ve,stodd046,"2025-09-03 14:35:39","effectiveness of nirsevimab against paediatric emergency department visits for all-cause bronchiolitis during the 2023-24 RSV season"
58,nos_xs_1,ejholmes,"2025-09-02 12:29:41","20% of 1 Australian state (seeking med care)"
58,nos_xs_2,ejholmes,"2025-09-02 12:33:00","ideal sample size not mentioned; ; 28% response rate"
58,nos_xs_3,ejholmes,"2025-09-02 12:33:58","parent self-report, no validation (eg med record)"
59,domain,harleen.k.marwah.gmail.com,"2025-08-01 10:07:50","""Safety and infectious outcomes in pediatric kidney transplant  recipients"" - Described as safety, though also looks at VE for this population (not within our VE date window, however)"
59,population_disagg,harleen.k.marwah.gmail.com,"2025-08-01 10:10:14","Per patient"
59,rob_reviewer1,ulric063,"2025-09-27 07:55:08","Marked as no control for confounding and subsequently high risk"
61,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 15:05:10","also: ITP, GBS"
62,nos_coh_6,calba1.mgh.harvard.edu,"2025-09-05 12:21:49","I think independent blind assessment is more appropriate as the neonatologist and study nurses were ""blinded to any interventions or complications experienced during the initial NICU stay"" and used the ""same equipment and instruments...for all assessments"", not ICD linkage - actually measured at study visit. Not changing given A and B both assign 1 point anyway."
62,ve_outcome_prime_other,emeyerowit.montefiore.org,"2025-07-27 20:09:34","Bronchitis episodes as reported in follow-up parental questionnaire regarding the last 12 months before 5-6-year follow-up examination."
62,ve_overall_vax_y,emeyerowit.montefiore.org,"2025-07-27 20:08:45","Calculated from data on page 12, section 3.5"
66,nos_xs_3,nebasta,"2025-09-05 23:31:28","""For this analysis, a case of IAE was defined as the marking of the encephalopathy or encephalitis checkbox on the case report form"""
70,rob_screen1,nebasta,"2025-09-27 21:05:45","58 patients with cancer, all vaccinated, % of AEs reported, no comparator group, no control of confounding in assessment of AEs)"
72,nos_cc_4,ulric063,"2025-09-25 20:49:09","Updating to no history of disease to align with guidance"
72,nos_cc_5,moat0011,"2025-09-03 13:29:12","We used conditional lo-
gistic regression models to estimate conditional odds ratios for influenza
positivity by vaccination status, adjusting for age (quadratic term), sex,
prior year's vaccination status and the presence of underlying medical
conditions, matched by two-week periods of calendar time."
72,nos_cc_6,moat0011,"2025-09-03 13:31:41",". Information on
influenza vaccination status was collected by interviewing parents or
legal guardians using a standard questionnaire, and cross-checking re-
sponses with medical records."
73,ae_outcome1_vax_y,ncmccann.bu.edu,"2025-07-27 21:43:34","this is less than 6"
74,nos_cc_4,ulric063,"2025-09-25 20:50:44","Updated to 'no history of disease' to align with guidance"
75,rob_screen2,nebasta,"2025-09-07 20:01:40","Study was not randomized (participants were enrolled and all given the same intervention, divided by past flu vaccine history and then the two groups defined by past vaccination were compared. AEs were reported descriptively."
78,nos_xs_2,ejholmes,"2025-09-02 15:39:24","Ideal sample size not described"
78,nos_xs_3,ejholmes,"2025-09-02 15:40:23","Self-report without independent validation"
79,nos_cc_2,stodd046,"2025-09-03 14:28:48","There are quite a few factors associated with the authors' third group: unknown vax status"
79,nos_cc_2,calba1.mgh.harvard.edu,"2025-09-07 15:40:49","Unknown vax status is in regards to exposure not cases and controls. Discussed with CS to switch to representative series."
79,nos_cc_4,stodd046,"2025-09-03 14:26:19","authors control for history of bronch. but these patients are still included "
79,nos_cc_6,calba1.mgh.harvard.edu,"2025-09-07 15:42:53","Large unknown vaccination status cohort which was imputed (further described in appendix). In the guidance, it says to select c or d if ""some participants may have been categorized as vaccinated even though they were not or vice versa"" which applies in this case. They did perform a complete-case sensitivity analysis using only the 531 infants with known nirsevimab status and claim they found ""similar results for the primary outcome."" However, the extracted VE estimate is from the imputed population (n = 739) from Figure 2, so I think our ROB assessment should reflect the imputed approach."
79,rob_outcome_ve,stodd046,"2025-09-03 14:11:08","Hospitalization after ED visits"
79,ve_infant_em_adj,calba1.mgh.harvard.edu,"2025-07-29 20:40:51","(adjusted VE 95%CI: 34.1-67.3)"
80,rob_screen1,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 15:30:28","considered the comparator group to be the patients themselves given comparison of relapse rates pre- and post-vaccination"
80,rob_type,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 15:34:29","the study is described as a retrospective cohort study rather than case series, which I agreed with"
81,nos_cc_4,stodd046,"2025-09-03 14:01:50","test negative design- controls are the negatives"
81,population_premature,emeyerowit.montefiore.org,"2025-07-28 15:21:50","Among the 1286 children included aged < 2 years"
81,ve_infant_em_adj,emeyerowit.montefiore.org,"2025-07-28 15:29:48","CI 79-94"
81,ve_infant_em_ci,emeyerowit.montefiore.org,"2025-07-28 15:29:34",unadjusted
81,ve_infant_vax_n,emeyerowit.montefiore.org,"2025-07-28 15:28:47","supplementary table eTable 8"
81,ve_overall_em_adj,emeyerowit.montefiore.org,"2025-07-28 15:31:53","CI 79-94"
81,ve_overall_em_adj_2,emeyerowit.montefiore.org,"2025-07-28 15:32:38","CI 82-97"
81,ve_overall_em_ci,emeyerowit.montefiore.org,"2025-07-28 15:31:44",unadjusted
81,ve_overall_em_ci_2,emeyerowit.montefiore.org,"2025-07-28 15:32:29",unadjusted
81,ve_overall_vax_n,emeyerowit.montefiore.org,"2025-07-28 15:32:54","Data in supplementary table eTable 8"
82,domain_ae_include_list,harleen.k.marwah.gmail.com,"2025-07-29 18:47:23","4 common post-vaccination symptom categories such as local, general, musculoskeletal symptoms and fever"
83,nos_cc_3,stodd046,"2025-09-03 13:19:19","controls born in the same hospital network but not hospitalized for illness during the study period"
83,population_premature,harleen.k.marwah.gmail.com,"2025-07-28 16:40:31","Calculated from Table 1A"
83,population_premature,ncmccann.bu.edu,"2025-07-29 20:25:51","Confirmed calculation"
83,ve_em_type,ncmccann.bu.edu,"2025-07-30 07:49:37","They don't explicitly state their definition, it seems most likely 1-OR * 100 since they used logistic regression (which typically produces odds ratios unless otherwise specified), but since they don't state it, leave as ""other."""
83,ve_overall_em,harleen.k.marwah.gmail.com,"2025-07-28 16:51:26","Pragmatic estimates of effectiveness (95% CI) were obtained from conditional logistic models based on the actual immunisation status at  the matching date and adjusting for sex, gestational age, birth weight, multiple pregnancy, previous non-RSV hospitalisation, and previous  comorbidities up to that date. Analyses were based on cases and controls with complete covariate information"
83,ve_overall_em,ncmccann.bu.edu,"2025-07-30 07:47:52","Given that they used a logistic regression I would guess this is adjusted, (1-OR)*100, but they don't explicitly state that, so leaving as ""other""."
83,ve_overall_vax_n,harleen.k.marwah.gmail.com,"2025-07-28 16:50:43","Calculated looking at table 2"
85,rob_screen2,stodd046,"2025-08-28 16:05:50","The primary outcome of the paper was nirsimivab acceptance (for which they controlled for confounders with MV regression) but that is outside of our scope. The primary outcome I'm assessing is AEs for which I did not see strong evidence of confounder control."
86,ve_overall_em,harleen.k.marwah.gmail.com,"2025-07-28 17:32:48","for at birth immunization"
86,ve_overall_vax_n,harleen.k.marwah.gmail.com,"2025-07-28 17:29:47","# of hospitalized RSV cases"
86,ve_overall_vax_y,harleen.k.marwah.gmail.com,"2025-07-28 17:30:14","# vaccinated (calculated from %'s in Table)"
87,epi_sample_rsv,emeyerowit.montefiore.org,"2025-07-29 06:34:28","Total RSV hospitalizations during study period"
87,nos_coh_1,stodd046,"2025-08-29 12:48:52","Authors do not actually confirm whether the hospitalized individuals in the subgroups from both time cohorts received immunization: 
Hospitalization rates for three groups with varying eligibility for RSV prevention products were analyzed: 1) infants aged 0-7 months eligible for protection through maternal RSV vaccine or nirsevimab, overall and in prespecified subgroups of infants aged 0-2 months, who are at highest risk for
RSV-associated hospitalization (1) and infants aged 3-7 months; 2) children aged 8-19 months entering their second RSV season,
some of whom might have been nirsevimab-eligible based on risk conditions; and 3) children aged 20-59 months, who were ineligible for either product."
87,nos_coh_1,stodd046,"2025-08-29 12:50:41","The two cohorts they use cover a lot of ground, especially RSV-NET 
RSV-NET: 300 hospitals in 161 counties
across 13 states
NVSN - seven U.S. medical centers"
87,nos_coh_2,stodd046,"2025-08-29 12:56:11","All three groups are drawn from the same surveillance networks"
87,nos_coh_3,stodd046,"2025-08-29 13:11:35","dates from the hospital records"
87,nos_coh_4,stodd046,"2025-08-29 13:13:53","Patients could have already been hospitalized when they tested positive for RSV: ""RSV-associated hospitalizations are defined as those among persons who have received a positive RSV reverse transcription-polymerase chain reaction
(RT-PCR) or rapid antigen detection test result ≤14 days before or after hospital admission."""
87,nos_coh_5,stodd046,"2025-08-29 13:17:14","RSV-NET rates were adjusted to account for RSV underdetection related to testing practices and test sensitivity using an established multiplier approach. NVSN rates were adjusted for enrollment rates, weeks with < 7 surveillance days, test sensitivity, and hospital market share"
87,nos_xs_1,stodd046,"2025-08-31 16:44:30","The two cohorts they use cover a lot of ground, especially RSV-NET
RSV-NET: 300 hospitals in 161 counties
across 13 states
NVSN - seven U.S. medical centers

But authors do not actually confirm whether the hospitalized individuals in the subgroups from both time cohorts received immunization."
87,nos_xs_2,stodd046,"2025-08-31 16:46:54","Overall, 18,389 RSV-associated hospitalizations (15,405 in RSV-NET and 2,984 in NVSN) were identified among children aged < 5 years; these included 11,681 during 2018-20 and 6,708 during 2024-25."
87,nos_xs_3,stodd046,"2025-08-31 16:49:20","RT-PCR confirmed RSV infection among hospitalized patients"
