"Record ID","Domain(s) covered in the article (choice=Adverse events (vaccine safety))","Domain(s) covered in the article (choice=Vaccine effectiveness)","Domain(s) covered in the article (choice=Co-administration)","Domain(s) covered in the article (choice=Epidemiology)"
55,Unchecked,Unchecked,Unchecked,Checked
56,Unchecked,Checked,Unchecked,Unchecked
57,Unchecked,Checked,Unchecked,Unchecked
58,Checked,Unchecked,Unchecked,Unchecked
59,Checked,Unchecked,Unchecked,Unchecked
60,Unchecked,Checked,Unchecked,Unchecked
61,Checked,Unchecked,Unchecked,Unchecked
62,Unchecked,Checked,Unchecked,Unchecked
63,Checked,Unchecked,Unchecked,Unchecked
64,Checked,Unchecked,Unchecked,Unchecked
65,Checked,Unchecked,Unchecked,Unchecked
66,Unchecked,Unchecked,Unchecked,Checked
67,Checked,Unchecked,Unchecked,Unchecked
68,Checked,Unchecked,Unchecked,Unchecked
69,Checked,Unchecked,Unchecked,Unchecked
70,Checked,Unchecked,Unchecked,Unchecked
71,Unchecked,Unchecked,Unchecked,Unchecked
72,Unchecked,Checked,Unchecked,Unchecked
73,Checked,Unchecked,Unchecked,Unchecked
74,Unchecked,Checked,Unchecked,Unchecked
75,Checked,Unchecked,Unchecked,Unchecked
76,Checked,Unchecked,Unchecked,Unchecked
77,Checked,Unchecked,Unchecked,Unchecked
78,Checked,Unchecked,Unchecked,Unchecked
79,Unchecked,Checked,Unchecked,Unchecked
80,Checked,Unchecked,Unchecked,Unchecked
81,Unchecked,Checked,Unchecked,Unchecked
82,Checked,Unchecked,Unchecked,Unchecked
83,Unchecked,Checked,Unchecked,Unchecked
84,Checked,Unchecked,Unchecked,Unchecked
85,Checked,Unchecked,Unchecked,Unchecked
86,Unchecked,Checked,Unchecked,Unchecked
87,Unchecked,Unchecked,Unchecked,Checked
88,Unchecked,Checked,Unchecked,Unchecked
89,Unchecked,Checked,Unchecked,Unchecked
90,Checked,Unchecked,Unchecked,Unchecked
91,Unchecked,Unchecked,Unchecked,Unchecked
92,Checked,Unchecked,Unchecked,Unchecked
93,Unchecked,Checked,Unchecked,Unchecked
94,Unchecked,Checked,Unchecked,Unchecked
95,Unchecked,Checked,Unchecked,Unchecked
96,Checked,Unchecked,Unchecked,Unchecked
97,Checked,Unchecked,Unchecked,Unchecked
98,Unchecked,Checked,Unchecked,Unchecked
99,Unchecked,Checked,Unchecked,Unchecked
100,Checked,Unchecked,Unchecked,Unchecked
101,Unchecked,Checked,Unchecked,Unchecked
102,Unchecked,Checked,Unchecked,Unchecked
103,Checked,Unchecked,Unchecked,Unchecked
104,Unchecked,Checked,Unchecked,Unchecked
105,Checked,Unchecked,Unchecked,Unchecked
106,Unchecked,Checked,Unchecked,Unchecked
107,Unchecked,Checked,Unchecked,Unchecked
108,Unchecked,Checked,Unchecked,Unchecked
109,Checked,Unchecked,Unchecked,Unchecked
110,Checked,Unchecked,Unchecked,Unchecked
111,Checked,Unchecked,Unchecked,Unchecked
112,Checked,Unchecked,Unchecked,Unchecked
113,Checked,Unchecked,Unchecked,Unchecked
114,Checked,Unchecked,Unchecked,Unchecked
115,Checked,Unchecked,Unchecked,Unchecked
116,Checked,Unchecked,Unchecked,Unchecked
117,Checked,Unchecked,Unchecked,Unchecked
118,Checked,Unchecked,Unchecked,Unchecked
119,Checked,Unchecked,Unchecked,Unchecked
120,Checked,Unchecked,Unchecked,Unchecked
121,Unchecked,Checked,Unchecked,Unchecked
122,Checked,Unchecked,Unchecked,Unchecked
123,Unchecked,Unchecked,Checked,Unchecked
124,Unchecked,Unchecked,Checked,Unchecked
125,Checked,Unchecked,Unchecked,Unchecked
126,Checked,Unchecked,Unchecked,Unchecked
127,Checked,Unchecked,Unchecked,Unchecked
128,Checked,Unchecked,Checked,Unchecked
129,Checked,Unchecked,Unchecked,Unchecked
130,Unchecked,Unchecked,Checked,Unchecked
131,Unchecked,Unchecked,Checked,Unchecked
132,Unchecked,Unchecked,Checked,Unchecked
133,Unchecked,Checked,Unchecked,Unchecked
134,Checked,Unchecked,Unchecked,Unchecked
135,Unchecked,Unchecked,Checked,Unchecked
136,Checked,Unchecked,Unchecked,Unchecked
137,Checked,Unchecked,Unchecked,Unchecked
138,Checked,Unchecked,Unchecked,Unchecked
139,Unchecked,Unchecked,Checked,Unchecked
140,Unchecked,Checked,Unchecked,Unchecked
141,Checked,Unchecked,Unchecked,Unchecked
142,Unchecked,Unchecked,Checked,Unchecked
143,Checked,Checked,Unchecked,Unchecked
144,Checked,Unchecked,Unchecked,Unchecked
145,Checked,Unchecked,Unchecked,Unchecked
146,Unchecked,Checked,Unchecked,Unchecked
147,Checked,Unchecked,Unchecked,Unchecked
148,Checked,Unchecked,Unchecked,Unchecked
149,Unchecked,Unchecked,Checked,Unchecked
150,Checked,Unchecked,Unchecked,Unchecked
151,Checked,Unchecked,Unchecked,Unchecked
152,Unchecked,Unchecked,Checked,Unchecked
153,Checked,Unchecked,Unchecked,Unchecked
154,Unchecked,Unchecked,Checked,Unchecked
155,Checked,Unchecked,Unchecked,Unchecked
156,Checked,Unchecked,Unchecked,Unchecked
157,Unchecked,Unchecked,Checked,Unchecked
158,Checked,Unchecked,Unchecked,Unchecked
159,Unchecked,Unchecked,Checked,Unchecked
160,Checked,Unchecked,Unchecked,Unchecked
161,Checked,Unchecked,Unchecked,Unchecked
162,Checked,Unchecked,Unchecked,Unchecked
163,Checked,Unchecked,Unchecked,Unchecked
164,Checked,Unchecked,Unchecked,Unchecked
165,Checked,Unchecked,Unchecked,Unchecked
166,Unchecked,Checked,Unchecked,Unchecked
167,Checked,Unchecked,Unchecked,Unchecked
168,Checked,Unchecked,Unchecked,Unchecked
169,Unchecked,Checked,Unchecked,Checked
170,Unchecked,Checked,Unchecked,Unchecked
171,Checked,Unchecked,Unchecked,Unchecked
172,Checked,Unchecked,Unchecked,Unchecked
173,Checked,Unchecked,Unchecked,Unchecked
174,Checked,Unchecked,Unchecked,Unchecked
175,Checked,Unchecked,Unchecked,Unchecked
176,Checked,Unchecked,Unchecked,Unchecked
177,Checked,Unchecked,Unchecked,Unchecked
178,Checked,Unchecked,Unchecked,Unchecked
179,Checked,Unchecked,Unchecked,Unchecked
180,Checked,Unchecked,Unchecked,Unchecked
181,Checked,Unchecked,Unchecked,Unchecked
182,Checked,Unchecked,Unchecked,Unchecked
183,Checked,Unchecked,Unchecked,Unchecked
184,Checked,Unchecked,Unchecked,Unchecked
185,Checked,Unchecked,Unchecked,Unchecked
186,Checked,Unchecked,Unchecked,Unchecked
187,Checked,Unchecked,Unchecked,Unchecked
188,Checked,Unchecked,Unchecked,Unchecked
189,Unchecked,Checked,Unchecked,Unchecked
190,Unchecked,Checked,Unchecked,Unchecked
191,Unchecked,Unchecked,Unchecked,Unchecked
192,Unchecked,Checked,Unchecked,Unchecked
193,Unchecked,Unchecked,Unchecked,Unchecked
194,Unchecked,Checked,Unchecked,Unchecked
195,Checked,Unchecked,Unchecked,Unchecked
196,Checked,Unchecked,Unchecked,Unchecked
197,Checked,Unchecked,Unchecked,Unchecked
198,Unchecked,Unchecked,Unchecked,Checked
199,Unchecked,Unchecked,Checked,Unchecked
200,Checked,Unchecked,Unchecked,Unchecked
201,Checked,Unchecked,Unchecked,Unchecked
202,Unchecked,Unchecked,Unchecked,Checked
203,Checked,Unchecked,Unchecked,Unchecked
204,Checked,Unchecked,Unchecked,Unchecked
205,Unchecked,Checked,Unchecked,Unchecked
206,Unchecked,Unchecked,Unchecked,Checked
207,Checked,Unchecked,Unchecked,Unchecked
208,Unchecked,Unchecked,Checked,Unchecked
209,Checked,Unchecked,Unchecked,Unchecked
210,Checked,Unchecked,Unchecked,Unchecked
211,Checked,Unchecked,Unchecked,Unchecked
212,Checked,Unchecked,Unchecked,Unchecked
213,Checked,Unchecked,Checked,Unchecked
214,Checked,Unchecked,Unchecked,Unchecked
215,Checked,Unchecked,Unchecked,Unchecked
216,Unchecked,Checked,Unchecked,Unchecked
217,Checked,Unchecked,Unchecked,Unchecked
218,Checked,Unchecked,Unchecked,Unchecked
219,Checked,Unchecked,Unchecked,Unchecked
220,Unchecked,Unchecked,Unchecked,Checked
221,Checked,Unchecked,Unchecked,Unchecked
222,Checked,Unchecked,Unchecked,Unchecked
223,Checked,Unchecked,Unchecked,Unchecked
224,Checked,Unchecked,Unchecked,Unchecked
225,Checked,Unchecked,Unchecked,Unchecked
226,Checked,Unchecked,Unchecked,Unchecked
227,Unchecked,Checked,Unchecked,Checked
228,Unchecked,Checked,Unchecked,Unchecked
229,Unchecked,Checked,Unchecked,Unchecked
230,Unchecked,Checked,Unchecked,Unchecked
231,Unchecked,Checked,Unchecked,Unchecked
232,Unchecked,Checked,Unchecked,Unchecked
233,Checked,Unchecked,Unchecked,Unchecked
234,Checked,Unchecked,Unchecked,Unchecked
235,Checked,Unchecked,Unchecked,Unchecked
236,Unchecked,Checked,Unchecked,Unchecked
237,Unchecked,Unchecked,Unchecked,Checked
238,Checked,Unchecked,Unchecked,Unchecked
239,Checked,Unchecked,Unchecked,Unchecked
240,Checked,Unchecked,Unchecked,Unchecked
241,Checked,Unchecked,Unchecked,Unchecked
242,Checked,Unchecked,Unchecked,Unchecked
243,Checked,Unchecked,Unchecked,Unchecked
244,Checked,Unchecked,Unchecked,Unchecked
245,Checked,Unchecked,Unchecked,Unchecked
246,Checked,Unchecked,Unchecked,Unchecked
247,Unchecked,Unchecked,Checked,Unchecked
248,Unchecked,Checked,Unchecked,Unchecked
249,Checked,Unchecked,Unchecked,Unchecked
250,Unchecked,Checked,Unchecked,Unchecked
251,Unchecked,Unchecked,Unchecked,Checked
252,Unchecked,Checked,Unchecked,Unchecked
253,Unchecked,Checked,Unchecked,Unchecked
254,Checked,Unchecked,Unchecked,Unchecked
255,Unchecked,Checked,Unchecked,Unchecked
256,Checked,Unchecked,Unchecked,Unchecked
257,Checked,Unchecked,Unchecked,Unchecked
258,Unchecked,Unchecked,Unchecked,Unchecked
259,Checked,Unchecked,Unchecked,Unchecked
260,Checked,Unchecked,Unchecked,Unchecked
261,Checked,Unchecked,Unchecked,Unchecked
262,Checked,Unchecked,Unchecked,Unchecked
263,Checked,Unchecked,Unchecked,Unchecked
264,Checked,Unchecked,Unchecked,Unchecked
265,Unchecked,Checked,Unchecked,Unchecked
266,Checked,Unchecked,Unchecked,Unchecked
267,Checked,Unchecked,Unchecked,Unchecked
268,Unchecked,Checked,Unchecked,Unchecked
269,Checked,Unchecked,Unchecked,Unchecked
270,Checked,Unchecked,Unchecked,Unchecked
271,Checked,Unchecked,Unchecked,Unchecked
272,Checked,Unchecked,Unchecked,Unchecked
273,Checked,Unchecked,Unchecked,Unchecked
274,Checked,Unchecked,Unchecked,Unchecked
275,Checked,Unchecked,Unchecked,Unchecked
276,Unchecked,Checked,Unchecked,Unchecked
277,Checked,Unchecked,Unchecked,Unchecked
278,Unchecked,Checked,Unchecked,Unchecked
279,Checked,Unchecked,Unchecked,Unchecked
280,Checked,Unchecked,Unchecked,Unchecked
281,Checked,Unchecked,Unchecked,Unchecked
282,Checked,Unchecked,Unchecked,Unchecked
283,Checked,Unchecked,Unchecked,Unchecked
284,Checked,Unchecked,Unchecked,Unchecked
285,Checked,Unchecked,Unchecked,Unchecked
286,Checked,Unchecked,Unchecked,Unchecked
287,Checked,Unchecked,Unchecked,Unchecked
288,Checked,Unchecked,Unchecked,Unchecked
289,Unchecked,Checked,Unchecked,Unchecked
290,Checked,Unchecked,Unchecked,Unchecked
291,Checked,Unchecked,Unchecked,Unchecked
292,Unchecked,Checked,Unchecked,Unchecked
293,Checked,Unchecked,Unchecked,Unchecked
294,Checked,Unchecked,Unchecked,Unchecked
295,Unchecked,Checked,Unchecked,Unchecked
296,Unchecked,Checked,Unchecked,Checked
297,Checked,Checked,Unchecked,Unchecked
298,Unchecked,Checked,Unchecked,Unchecked
299,Unchecked,Checked,Unchecked,Unchecked
300,Checked,Unchecked,Unchecked,Unchecked
301,Checked,Unchecked,Unchecked,Unchecked
302,Checked,Unchecked,Unchecked,Unchecked
303,Checked,Unchecked,Unchecked,Unchecked
304,Checked,Unchecked,Unchecked,Unchecked
305,Checked,Unchecked,Unchecked,Unchecked
306,Unchecked,Checked,Unchecked,Unchecked
307,Unchecked,Checked,Unchecked,Unchecked
308,Checked,Unchecked,Unchecked,Unchecked
309,Unchecked,Unchecked,Unchecked,Checked
310,Checked,Unchecked,Unchecked,Unchecked
311,Unchecked,Checked,Unchecked,Checked
312,Unchecked,Unchecked,Checked,Unchecked
313,Checked,Unchecked,Unchecked,Unchecked
314,Unchecked,Checked,Unchecked,Unchecked
315,Checked,Unchecked,Unchecked,Unchecked
316,Checked,Unchecked,Unchecked,Unchecked
317,Checked,Unchecked,Unchecked,Unchecked
318,Unchecked,Unchecked,Unchecked,Checked
319,Checked,Unchecked,Unchecked,Unchecked
320,Unchecked,Unchecked,Unchecked,Checked
321,Checked,Unchecked,Unchecked,Unchecked
322,Checked,Unchecked,Unchecked,Unchecked
323,Checked,Unchecked,Unchecked,Unchecked
324,Unchecked,Unchecked,Checked,Unchecked
325,Checked,Unchecked,Unchecked,Unchecked
326,Unchecked,Unchecked,Unchecked,Unchecked
327,Checked,Unchecked,Unchecked,Unchecked
328,Unchecked,Checked,Unchecked,Unchecked
329,Checked,Unchecked,Unchecked,Unchecked
330,Checked,Unchecked,Unchecked,Unchecked
331,Checked,Unchecked,Unchecked,Unchecked
332,Unchecked,Checked,Unchecked,Unchecked
333,Checked,Unchecked,Unchecked,Unchecked
334,Unchecked,Checked,Unchecked,Unchecked
335,Checked,Unchecked,Unchecked,Unchecked
336,Checked,Unchecked,Unchecked,Unchecked
337,Checked,Unchecked,Unchecked,Unchecked
338,Checked,Unchecked,Unchecked,Unchecked
339,Checked,Unchecked,Unchecked,Unchecked
340,Checked,Unchecked,Unchecked,Unchecked
341,Checked,Unchecked,Unchecked,Unchecked
342,Checked,Unchecked,Unchecked,Unchecked
343,Checked,Unchecked,Unchecked,Unchecked
344,Checked,Unchecked,Unchecked,Unchecked
345,Checked,Unchecked,Unchecked,Unchecked
346,Checked,Unchecked,Unchecked,Unchecked
347,Checked,Unchecked,Unchecked,Unchecked
348,Checked,Unchecked,Unchecked,Unchecked
349,Checked,Unchecked,Unchecked,Unchecked
350,Unchecked,Checked,Unchecked,Unchecked
351,Unchecked,Checked,Unchecked,Unchecked
352,Checked,Unchecked,Unchecked,Unchecked
353,Checked,Unchecked,Unchecked,Unchecked
354,Unchecked,Unchecked,Unchecked,Checked
355,Checked,Checked,Unchecked,Unchecked
356,Checked,Unchecked,Unchecked,Unchecked
357,Checked,Unchecked,Unchecked,Unchecked
358,Checked,Unchecked,Unchecked,Unchecked
359,Checked,Unchecked,Unchecked,Unchecked
360,Checked,Unchecked,Unchecked,Unchecked
361,Checked,Unchecked,Unchecked,Unchecked
362,Checked,Unchecked,Unchecked,Unchecked
363,Checked,Unchecked,Unchecked,Unchecked
364,Checked,Unchecked,Unchecked,Unchecked
365,Checked,Unchecked,Unchecked,Unchecked
366,Checked,Unchecked,Unchecked,Unchecked
367,Checked,Unchecked,Unchecked,Unchecked
368,Checked,Unchecked,Unchecked,Unchecked
369,Checked,Unchecked,Unchecked,Unchecked
370,Checked,Unchecked,Unchecked,Unchecked
371,Checked,Unchecked,Unchecked,Unchecked
372,Checked,Unchecked,Unchecked,Unchecked
373,Checked,Unchecked,Unchecked,Unchecked
374,Checked,Unchecked,Unchecked,Unchecked
375,Unchecked,Checked,Unchecked,Unchecked
376,Unchecked,Checked,Unchecked,Unchecked
377,Unchecked,Checked,Unchecked,Unchecked
378,Checked,Unchecked,Unchecked,Unchecked
379,Checked,Unchecked,Unchecked,Unchecked
380,Checked,Unchecked,Unchecked,Unchecked
381,Checked,Unchecked,Unchecked,Unchecked
382,Unchecked,Checked,Unchecked,Unchecked
383,Checked,Unchecked,Unchecked,Unchecked
384,Checked,Unchecked,Unchecked,Unchecked
385,Checked,Unchecked,Unchecked,Unchecked
386,Checked,Unchecked,Unchecked,Unchecked
387,Checked,Unchecked,Unchecked,Unchecked
388,Checked,Unchecked,Unchecked,Unchecked
389,Unchecked,Checked,Unchecked,Unchecked
390,Unchecked,Checked,Unchecked,Checked
391,Unchecked,Unchecked,Unchecked,Checked
392,Checked,Unchecked,Unchecked,Unchecked
393,Checked,Unchecked,Unchecked,Unchecked
394,Checked,Unchecked,Unchecked,Unchecked
395,Checked,Unchecked,Unchecked,Unchecked
396,Checked,Unchecked,Unchecked,Unchecked
397,Checked,Unchecked,Unchecked,Unchecked
398,Unchecked,Checked,Unchecked,Unchecked
399,Unchecked,Checked,Unchecked,Unchecked
400,Checked,Unchecked,Unchecked,Unchecked
401,Checked,Unchecked,Unchecked,Unchecked
402,Checked,Unchecked,Unchecked,Unchecked
403,Unchecked,Unchecked,Unchecked,Checked
404,Checked,Unchecked,Unchecked,Unchecked
405,Unchecked,Checked,Unchecked,Unchecked
406,Unchecked,Checked,Unchecked,Unchecked
407,Unchecked,Unchecked,Unchecked,Checked
408,Checked,Unchecked,Unchecked,Unchecked
409,Checked,Unchecked,Unchecked,Unchecked
410,Checked,Unchecked,Unchecked,Unchecked
411,Checked,Unchecked,Unchecked,Unchecked
412,Checked,Unchecked,Unchecked,Unchecked
413,Unchecked,Checked,Unchecked,Unchecked
414,Unchecked,Checked,Unchecked,Unchecked
415,Unchecked,Checked,Unchecked,Unchecked
416,Checked,Unchecked,Unchecked,Unchecked
417,Unchecked,Checked,Unchecked,Unchecked
418,Checked,Unchecked,Unchecked,Unchecked
419,Checked,Unchecked,Unchecked,Unchecked
420,Checked,Unchecked,Unchecked,Unchecked
421,Checked,Unchecked,Unchecked,Unchecked
422,Checked,Unchecked,Unchecked,Unchecked
423,Checked,Unchecked,Unchecked,Unchecked
424,Unchecked,Unchecked,Unchecked,Checked
425,Checked,Unchecked,Unchecked,Unchecked
426,Checked,Unchecked,Unchecked,Unchecked
427,Checked,Unchecked,Unchecked,Unchecked
428,Checked,Unchecked,Unchecked,Unchecked
429,Unchecked,Unchecked,Unchecked,Unchecked
430,Checked,Unchecked,Unchecked,Unchecked
431,Checked,Unchecked,Unchecked,Unchecked
432,Checked,Unchecked,Unchecked,Unchecked
433,Checked,Unchecked,Unchecked,Unchecked
434,Unchecked,Checked,Unchecked,Unchecked
435,Unchecked,Checked,Unchecked,Unchecked
436,Unchecked,Unchecked,Unchecked,Unchecked
437,Checked,Unchecked,Unchecked,Unchecked
438,Checked,Unchecked,Unchecked,Unchecked
439,Unchecked,Checked,Unchecked,Unchecked
440,Checked,Unchecked,Unchecked,Unchecked
441,Checked,Unchecked,Unchecked,Unchecked
442,Checked,Unchecked,Unchecked,Unchecked
443,Checked,Unchecked,Unchecked,Unchecked
444,Unchecked,Checked,Unchecked,Unchecked
445,Unchecked,Checked,Unchecked,Unchecked
446,Checked,Unchecked,Unchecked,Unchecked
447,Checked,Unchecked,Unchecked,Unchecked
448,Checked,Unchecked,Unchecked,Unchecked
449,Checked,Checked,Unchecked,Unchecked
450,Checked,Unchecked,Unchecked,Unchecked
451,Checked,Unchecked,Unchecked,Unchecked
452,Checked,Unchecked,Unchecked,Unchecked
453,Checked,Unchecked,Checked,Unchecked
454,Checked,Unchecked,Checked,Unchecked
455,Unchecked,Unchecked,Checked,Unchecked
456,Unchecked,Unchecked,Unchecked,Unchecked
457,Unchecked,Unchecked,Unchecked,Checked
458,Unchecked,Unchecked,Checked,Unchecked
459,Checked,Unchecked,Unchecked,Unchecked
460,Checked,Unchecked,Unchecked,Unchecked
461,Checked,Unchecked,Unchecked,Unchecked
462,Checked,Unchecked,Unchecked,Unchecked
463,Checked,Unchecked,Unchecked,Unchecked
464,Checked,Unchecked,Unchecked,Unchecked
465,Checked,Unchecked,Unchecked,Unchecked
466,Checked,Unchecked,Unchecked,Unchecked
467,Checked,Unchecked,Unchecked,Unchecked
468,Unchecked,Unchecked,Checked,Unchecked
469,Checked,Unchecked,Unchecked,Unchecked
470,Unchecked,Checked,Unchecked,Unchecked
471,Checked,Unchecked,Unchecked,Unchecked
472,Unchecked,Checked,Unchecked,Unchecked
473,Checked,Unchecked,Unchecked,Unchecked
474,Unchecked,Checked,Unchecked,Unchecked
475,Checked,Unchecked,Unchecked,Unchecked
476,Checked,Unchecked,Unchecked,Unchecked
477,Checked,Unchecked,Unchecked,Unchecked
478,Checked,Unchecked,Unchecked,Unchecked
479,Checked,Unchecked,Unchecked,Unchecked
480,Checked,Unchecked,Unchecked,Unchecked
481,Unchecked,Unchecked,Checked,Unchecked
482,Checked,Unchecked,Unchecked,Unchecked
483,Checked,Unchecked,Unchecked,Unchecked
484,Checked,Unchecked,Unchecked,Unchecked
485,Checked,Unchecked,Unchecked,Unchecked
486,Checked,Unchecked,Unchecked,Unchecked
487,Unchecked,Unchecked,Checked,Unchecked
488,Checked,Unchecked,Unchecked,Unchecked
489,Checked,Unchecked,Unchecked,Unchecked
490,Unchecked,Unchecked,Unchecked,Checked
491,Unchecked,Unchecked,Checked,Unchecked
492,Checked,Unchecked,Unchecked,Unchecked
493,Unchecked,Unchecked,Checked,Unchecked
494,Unchecked,Checked,Unchecked,Unchecked
495,Unchecked,Checked,Unchecked,Unchecked
496,Checked,Unchecked,Unchecked,Unchecked
497,Checked,Unchecked,Unchecked,Unchecked
498,Checked,Unchecked,Unchecked,Unchecked
499,Checked,Unchecked,Unchecked,Unchecked
500,Checked,Unchecked,Unchecked,Unchecked
501,Checked,Unchecked,Unchecked,Unchecked
502,Unchecked,Unchecked,Unchecked,Checked
503,Checked,Unchecked,Unchecked,Unchecked
504,Unchecked,Checked,Unchecked,Unchecked
505,Checked,Unchecked,Unchecked,Unchecked
506,Unchecked,Unchecked,Unchecked,Checked
507,Unchecked,Unchecked,Unchecked,Unchecked
508,Unchecked,Unchecked,Unchecked,Unchecked
509,Checked,Unchecked,Unchecked,Unchecked
510,Unchecked,Unchecked,Checked,Unchecked
511,Checked,Unchecked,Unchecked,Unchecked
512,Unchecked,Checked,Unchecked,Unchecked
513,Checked,Unchecked,Unchecked,Unchecked
514,Checked,Unchecked,Unchecked,Unchecked
515,Checked,Unchecked,Unchecked,Unchecked
516,Unchecked,Checked,Unchecked,Unchecked
517,Checked,Unchecked,Unchecked,Unchecked
518,Checked,Unchecked,Unchecked,Unchecked
519,Checked,Unchecked,Unchecked,Unchecked
520,Checked,Unchecked,Unchecked,Unchecked
521,Checked,Unchecked,Unchecked,Unchecked
522,Checked,Unchecked,Unchecked,Unchecked
523,Unchecked,Unchecked,Unchecked,Unchecked
524,Checked,Unchecked,Unchecked,Unchecked
525,Unchecked,Checked,Unchecked,Unchecked
526,Checked,Unchecked,Unchecked,Unchecked
527,Checked,Unchecked,Unchecked,Unchecked
528,Checked,Unchecked,Unchecked,Unchecked
529,Checked,Unchecked,Unchecked,Unchecked
530,Checked,Unchecked,Unchecked,Unchecked
531,Checked,Unchecked,Unchecked,Unchecked
532,Checked,Unchecked,Unchecked,Unchecked
533,Checked,Unchecked,Unchecked,Unchecked
534,Checked,Unchecked,Unchecked,Unchecked
535,Checked,Unchecked,Unchecked,Unchecked
536,Checked,Unchecked,Unchecked,Unchecked
537,Unchecked,Checked,Unchecked,Unchecked
538,Unchecked,Unchecked,Unchecked,Unchecked
539,Unchecked,Checked,Unchecked,Unchecked
540,Unchecked,Unchecked,Unchecked,Unchecked
541,Unchecked,Checked,Unchecked,Unchecked
542,Checked,Unchecked,Unchecked,Unchecked
543,Checked,Unchecked,Unchecked,Unchecked
544,Unchecked,Checked,Unchecked,Unchecked
545,Checked,Unchecked,Unchecked,Unchecked
546,Checked,Unchecked,Unchecked,Unchecked
547,Checked,Unchecked,Unchecked,Unchecked
548,Checked,Unchecked,Unchecked,Unchecked
549,Unchecked,Checked,Unchecked,Unchecked
550,Checked,Unchecked,Checked,Unchecked
551,Unchecked,Checked,Unchecked,Unchecked
552,Unchecked,Unchecked,Unchecked,Checked
553,Unchecked,Unchecked,Unchecked,Checked
554,Checked,Unchecked,Unchecked,Unchecked
555,Checked,Unchecked,Unchecked,Unchecked
556,Unchecked,Checked,Unchecked,Unchecked
557,Checked,Unchecked,Unchecked,Unchecked
558,Checked,Unchecked,Unchecked,Unchecked
559,Unchecked,Checked,Unchecked,Unchecked
560,Unchecked,Checked,Unchecked,Unchecked
561,Unchecked,Checked,Unchecked,Unchecked
562,Unchecked,Unchecked,Unchecked,Checked
563,Unchecked,Unchecked,Unchecked,Checked
564,Checked,Unchecked,Unchecked,Unchecked
565,Checked,Unchecked,Unchecked,Unchecked
566,Checked,Unchecked,Unchecked,Unchecked
567,Checked,Unchecked,Unchecked,Unchecked
568,Checked,Unchecked,Unchecked,Unchecked
569,Unchecked,Checked,Unchecked,Unchecked
570,Checked,Unchecked,Unchecked,Unchecked
571,Checked,Unchecked,Unchecked,Unchecked
572,Checked,Unchecked,Unchecked,Unchecked
573,Checked,Unchecked,Unchecked,Unchecked
574,Checked,Unchecked,Unchecked,Unchecked
