"id_redcap","id_covidence","article","virus","covid","rsv","flu","population","preg","infant","child","adult","elder","immunocomp","rob","study_design","published_year","journal","pmid","pmcid","doi","link","title"
20,"#5806","Denoble 2024","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Case-control",2024,"Obstet Gynecol",38843526,,"10.1097/aog.0000000000005632","https://pubmed.ncbi.nlm.nih.gov/38843526","Coronavirus Disease 2019 (COVID-19) Vaccination and Stillbirth in the Vaccine Safety Datalink"
21,"#6443","Getahun 2024","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"JAMA Netw Open",39298167,"PMC11413712","10.1001/jamanetworkopen.2024.34857","https://pmc.ncbi.nlm.nih.gov/articles/PMC11413712","Safety of the Seasonal Influenza Vaccine in 2 Successive Pregnancies"
22,"#15755","Jorgensen 2024","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"BMJ Med",39574424,"PMC11579536","10.1136/bmjmed-2023-000743","https://pmc.ncbi.nlm.nih.gov/articles/PMC11579536","Association between maternal mRNA covid-19 vaccination in early pregnancy and major congenital anomalies in offspring: population based cohort study with sibling matched analysis"
24,"#2008","Lacroix 2025","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"High","Observational - other",2025,"Therapie",38997859,,"10.1016/j.therap.2024.06.003","https://pubmed.ncbi.nlm.nih.gov/38997859","COVACPREG, a French prospective cohort study of women vaccinated against COVID-19 during pregnancy"
25,"#16358","Lee 2024","COVID",1,0,1,"Pediatric",1,1,1,1,1,0,"High","Observational - other",2024,"J Med Virol",38859751,,"10.1002/jmv.29693","https://pubmed.ncbi.nlm.nih.gov/38859751","Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database"
25,"#16358","Lee 2024","Influenza",1,0,1,"Pediatric",1,1,1,1,1,0,"High","Observational - other",2024,"J Med Virol",38859751,,"10.1002/jmv.29693","https://pubmed.ncbi.nlm.nih.gov/38859751","Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database"
25,"#16358","Lee 2024","COVID",1,0,1,"Adult",1,1,1,1,1,0,"High","Observational - other",2024,"J Med Virol",38859751,,"10.1002/jmv.29693","https://pubmed.ncbi.nlm.nih.gov/38859751","Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database"
25,"#16358","Lee 2024","Influenza",1,0,1,"Adult",1,1,1,1,1,0,"High","Observational - other",2024,"J Med Virol",38859751,,"10.1002/jmv.29693","https://pubmed.ncbi.nlm.nih.gov/38859751","Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database"
25,"#16358","Lee 2024","COVID",1,0,1,"Pregnant",1,1,1,1,1,0,"High","Observational - other",2024,"J Med Virol",38859751,,"10.1002/jmv.29693","https://pubmed.ncbi.nlm.nih.gov/38859751","Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database"
25,"#16358","Lee 2024","Influenza",1,0,1,"Pregnant",1,1,1,1,1,0,"High","Observational - other",2024,"J Med Virol",38859751,,"10.1002/jmv.29693","https://pubmed.ncbi.nlm.nih.gov/38859751","Global estimates on the reports of vaccine-associated myocarditis and pericarditis from 1969 to 2023: Findings with critical reanalysis from the WHO pharmacovigilance database"
26,"#8321","Magnus 2024","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"Am J Obstet Gynecol",38697336,,"10.1016/j.ajog.2024.04.028","https://pubmed.ncbi.nlm.nih.gov/38697336","COVID-19 vaccination during pregnancy is not associated with an increased risk of severe postpartum hemorrhage"
27,"#2339","Malange 2025","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"Low","Case-control",2025,"Vaccine",40418866,,"10.1016/j.vaccine.2025.127297","https://pubmed.ncbi.nlm.nih.gov/40418866","Influenza vaccination during early pregnancy and risk of major birth defects, US Birth Defects Study To Evaluate Pregnancy exposureS, 2014-2019"
28,"#8569","Mensah 2024","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Case-control",2024,"Bjog",39279662,,"10.1111/1471-0528.17949","https://pubmed.ncbi.nlm.nih.gov/39279662","COVID-19 Vaccine Safety in Pregnancy, A Nested Case-Control Study in Births From April 2021 to March 2022, England"
29,"#8588","Metz 2024","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"Obstet Gynecol",38991216,,"10.1097/aog.0000000000005670","https://pubmed.ncbi.nlm.nih.gov/38991216","Post-Acute Sequelae of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) After Infection During Pregnancy"
30,"#9547","Regan 2023","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"Moderate","Cohort",2023,"Obstet Gynecol",37535959,,"10.1097/aog.0000000000005279","https://pubmed.ncbi.nlm.nih.gov/37535959","Risk of Miscarriage in Relation to Seasonal Influenza Vaccination Before or During Pregnancy"
31,"#9546","Regan 2024","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"Vaccine",39260053,"PMC11911014","10.1016/j.vaccine.2024.126256","https://pmc.ncbi.nlm.nih.gov/articles/PMC11911014","Maternal influenza vaccination and associated risk of fetal loss: A claims-based prospective cohort study"
34,"#3394","Sheth 2025","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Case-control",2025,"Obstet Gynecol",40311142,,"10.1097/aog.0000000000005904","https://pubmed.ncbi.nlm.nih.gov/40311142","Coronavirus Disease 2019 (COVID-19) Vaccination and Spontaneous Abortion"
35,"#10424","Suseeladevi 2024","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"The Lancet Regional Health - Europe",39974773,"PMC11838104","10.1016/j.lanepe.2024.101025","https://pmc.ncbi.nlm.nih.gov/articles/PMC11838104","COVID-19 vaccination and birth outcomes of 186,990 women vaccinated before pregnancy: an England-wide cohort study"
37,"#3980","Woestenberg 2025","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"High","Cohort",2025,"Birth Defects Res",40476384,"PMC12142568","10.1002/bdr2.2490","https://pmc.ncbi.nlm.nih.gov/articles/PMC12142568","Comparison of Perceived Adverse Events After COVID-19 Vaccination Between Pregnant and NonPregnant Women Using Two Cohort Studies in the Netherlands"
38,"#4651","Arbetter 2024","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"Moderate","RCT",2024,"Clin Infect Dis",39656748,,"10.1093/cid/ciae596","https://pubmed.ncbi.nlm.nih.gov/39656748","Lower respiratory tract infections following respiratory syncytial virus monoclonal antibody nirsevimab immunization versus placebo: Analysis from a Phase 3 randomized clinical trial (MELODY)"
39,"#5870","Dixit 2024","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2024,"Lancet Infect Dis",38518789,,"10.1016/s1473-3099(24)00101-4","https://pubmed.ncbi.nlm.nih.gov/38518789","Interim safety and immunogenicity of COVID-19 omicron BA.1 variant-containing vaccine in children in the USA: an open-label non-randomised phase 3 trial"
40,"#21593","Folegatti 2025","Influenza",0,0,1,"Pediatric",0,0,1,1,0,0,"High","Observational - other",2025,"Lancet Infect Dis",40412421,,"10.1016/s1473-3099(25)00153-7","https://pubmed.ncbi.nlm.nih.gov/40412421","Comparative assessment of immunogenicity and safety of recombinant influenza vaccine in children, adolescents, and adults: results from a phase 3, immunobridging, open-label, non-randomised study"
40,"#21593","Folegatti 2025","Influenza",0,0,1,"Adult",0,0,1,1,0,0,"High","Observational - other",2025,"Lancet Infect Dis",40412421,,"10.1016/s1473-3099(25)00153-7","https://pubmed.ncbi.nlm.nih.gov/40412421","Comparative assessment of immunogenicity and safety of recombinant influenza vaccine in children, adolescents, and adults: results from a phase 3, immunobridging, open-label, non-randomised study"
41,"#1605","Huang 2025","Influenza",0,0,1,"Pediatric",0,1,1,0,0,0,"Low","RCT",2025,"Vaccines",40432079,"PMC12116156","10.3390/vaccines13050467","https://pmc.ncbi.nlm.nih.gov/articles/PMC12116156","The Safety and Immunogenicity of a Quadrivalent Influenza Subunit Vaccine in Healthy Children Aged 635 Months: A Randomized, Blinded and Positive-Controlled Phase III Clinical Trial"
42,"#7666","Kothari 2024","Influenza",0,0,1,"Pediatric",0,0,1,0,0,0,"Low","RCT",2024,"Hum Vaccin Immunother",39445787,"PMC11508945","10.1080/21645515.2024.2416329","https://pmc.ncbi.nlm.nih.gov/articles/PMC11508945","A prospective, randomized, parallel, active controlled, phase III Indian study of immunogenicity and safety of two inactivated influenza vaccines - Vaxiflu-4 and Fluarix tetra in children aged 6 months to 35 months"
43,"#2376","Mao 2025","RSV",0,1,0,"Adult",0,0,0,1,0,0,"High","RCT",2025,"Clin Transl Sci",39736101,"PMC11684469","10.1111/cts.70095","https://pmc.ncbi.nlm.nih.gov/articles/PMC11684469","A phase I, randomized, placebo-controlled trial to evaluate the pharmacokinetics, safety, and tolerability of nirsevimab in healthy Chinese adults"
44,"#2631","Munro 2025","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"Low","RCT",2025,"Lancet Child Adolesc Health",40379431,,"10.1016/s2352-4642(25)00102-6","https://pubmed.ncbi.nlm.nih.gov/40379431","180-day efficacy of nirsevimab against hospitalisation for respiratory syncytial virus lower respiratory tract infections in infants (HARMONIE): a randomised, controlled, phase 3b trial"
45,"#2667","Nakayama 2025","Influenza",0,0,1,"Pediatric",0,0,1,0,0,0,"Low","RCT",2025,"J Infect Chemother",38959995,,"10.1016/j.jiac.2024.06.023","https://pubmed.ncbi.nlm.nih.gov/38959995","The efficacy and safety of a quadrivalent live attenuated influenza nasal vaccine in Japanese children: A phase 3, randomized, placebo-controlled study"
46,"#10945","Wang 2024","Influenza",0,0,1,"Pediatric",0,0,1,0,0,0,"Moderate","RCT",2024,"Hum Vaccin Immunother",39540202,"PMC11572236","10.1080/21645515.2024.2425149","https://pmc.ncbi.nlm.nih.gov/articles/PMC11572236","Safety and immunogenicity of full-dose quadrivalent influenza vaccine in children 6-35 months of age in China: A randomized, double-blind, clinical trial"
47,"#428","Bennett 2025","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"Low","RCT",2025,"J Infect",39874991,,"10.1016/j.jinf.2025.106428","https://pubmed.ncbi.nlm.nih.gov/39874991","Safety and immunogenicity of Omicron protein vaccines in mRNA-vaccinated adolescents: A phase 3, randomised trial"
49,"#4486","Alejandre 2024","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"High","Observational - other",2024,"Eur J Pediatr",38910199,,"10.1007/s00431-024-05634-z","https://pubmed.ncbi.nlm.nih.gov/38910199","Impact of universal immunization program with monoclonal antibody nirsevimab on reducing the burden of serious bronchiolitis that need pediatric intensive care"
50,"#20369","Andersen 2025","COVID",1,1,1,"Pediatric",0,1,1,0,0,0,"Moderate","Cohort",2025,"Pediatr Infect Dis J",40440707,,"10.1097/inf.0000000000004866","https://pubmed.ncbi.nlm.nih.gov/40440707","Clinical Outcomes in Children <5 Years of Age Hospitalized for Respiratory Syncytial Virus, COVID-19 or Influenza in the United States"
50,"#20369","Andersen 2025","RSV",1,1,1,"Pediatric",0,1,1,0,0,0,"Moderate","Cohort",2025,"Pediatr Infect Dis J",40440707,,"10.1097/inf.0000000000004866","https://pubmed.ncbi.nlm.nih.gov/40440707","Clinical Outcomes in Children <5 Years of Age Hospitalized for Respiratory Syncytial Virus, COVID-19 or Influenza in the United States"
50,"#20369","Andersen 2025","Influenza",1,1,1,"Pediatric",0,1,1,0,0,0,"Moderate","Cohort",2025,"Pediatr Infect Dis J",40440707,,"10.1097/inf.0000000000004866","https://pubmed.ncbi.nlm.nih.gov/40440707","Clinical Outcomes in Children <5 Years of Age Hospitalized for Respiratory Syncytial Virus, COVID-19 or Influenza in the United States"
51,"#13170","Ares-Gomez 2024","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"Low","Cohort",2024,"Lancet Infect Dis",38701823,,"10.1016/s1473-3099(24)00215-9","https://pubmed.ncbi.nlm.nih.gov/38701823","Effectiveness and impact of universal prophylaxis with nirsevimab in infants against hospitalisation for respiratory syncytial virus in Galicia, Spain: initial results of a population-based longitudinal study"
52,"#4837","Barbas Del Buey 2024","RSV",0,1,0,"Pediatric",0,1,0,0,0,0,"Low","Cohort",2024,"Front Public Health",39220460,"PMC11361977","10.3389/fpubh.2024.1441786","https://pmc.ncbi.nlm.nih.gov/articles/PMC11361977","The effectiveness of nirsevimab in reducing the burden of disease due to respiratory syncytial virus (RSV) infection over time in the Madrid region (Spain): a prospective population-based cohort study"
53,"#4960","Berthaud 2024","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2024,"Clin Infect Dis",39158584,"PMC11650855","10.1093/cid/ciae420","https://pmc.ncbi.nlm.nih.gov/articles/PMC11650855","Safety and Immunogenicity of an mRNA-1273 Booster in Children"
57,"#5255","Carbajal 2024","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"Low","Case-control",2024,"Lancet Child Adolesc Health",39208832,,"10.1016/s2352-4642(24)00171-8","https://pubmed.ncbi.nlm.nih.gov/39208832","Real-world effectiveness of nirsevimab immunisation against bronchiolitis in infants: a case-control study in Paris, France"
58,"#633","Carcione 2025","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"High","Observational - other",2025,"Pediatr Infect Dis J",39773919,,"10.1097/inf.0000000000004715","https://pubmed.ncbi.nlm.nih.gov/39773919","ACTIVE POST-MARKETING SAFETY SURVEILLANCE OF NIRSEVIMAB ADMINISTERED TO CHILDREN IN WESTERN AUSTRALIA, APRIL-JULY 2024"
59,"#5520","Churilla 2024","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2024,"Pediatr Transplant",38766983,,"10.1111/petr.14786","https://pubmed.ncbi.nlm.nih.gov/38766983","Safety and infectious outcomes in pediatric kidney transplant recipients after COVID-19 vaccination: A pediatric nephrology research consortium study"
60,"#5560","Coma 2024","RSV",0,1,0,"Pediatric",0,1,0,0,0,0,"Low","Cohort",2024,"Arch Dis Child",38857952,"PMC11347209","10.1136/archdischild-2024-327153","https://pmc.ncbi.nlm.nih.gov/articles/PMC11347209","Effectiveness of nirsevimab immunoprophylaxis against respiratory syncytial virus-related outcomes in hospital and primary care settings: a retrospective cohort study in infants in Catalonia (Spain)"
61,"#28053","Copland 2024","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"Low","Observational - other",2024,"Nat Commun",38802362,"PMC11130197","10.1038/s41467-024-47745-z","https://pmc.ncbi.nlm.nih.gov/articles/PMC11130197","Safety outcomes following COVID-19 vaccination and infection in 5.1 million children in England"
62,"#21167","Dammann 2025","Influenza",0,0,1,"Pediatric",0,1,1,0,0,0,"Low","Cohort",2025,"Vaccines (Basel)",39852821,"PMC11769184","10.3390/vaccines13010042","https://pmc.ncbi.nlm.nih.gov/articles/PMC11769184","Influenza Immunization in Very-Low-Birth-Weight Infants: Epidemiology and Long-Term Outcomes"
63,"#5883","Domachowske 2024","RSV",0,1,0,"Immunocomp",0,1,1,0,0,1,"High","Observational - other",2024,"Pediatrics",39257380,,"10.1542/peds.2024-066508","https://pubmed.ncbi.nlm.nih.gov/39257380","Safety and Pharmacokinetics of Nirsevimab in Immunocompromised Children"
64,"#6030","El Hilali 2024","COVID",1,0,0,"Pediatric",0,0,1,1,1,0,"High","Observational - other",2024,"Clinical Epidemiology and Global Health",,,"10.1016/j.cegh.2024.101689","https://doi.org/10.1016/j.cegh.2024.101689","Adverse effects of COVID-19 vaccines in the Moroccan adults and children during the pandemic"
64,"#6030","El Hilali 2024","COVID",1,0,0,"Adult",0,0,1,1,1,0,"High","Observational - other",2024,"Clinical Epidemiology and Global Health",,,"10.1016/j.cegh.2024.101689","https://doi.org/10.1016/j.cegh.2024.101689","Adverse effects of COVID-19 vaccines in the Moroccan adults and children during the pandemic"
65,"#1130","Estrella-Porter 2025","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"High","Observational - other",2025,"Vaccines (Basel)",40573954,"PMC12197746","10.3390/vaccines13060623","https://pmc.ncbi.nlm.nih.gov/articles/PMC12197746","Post-Marketing Surveillance of Nirsevimab: Safety Profile and Adverse Event Analysis from Spain's 2023-2024 RSV Immunisation Campaign"
66,"#1181","Fazal 2025","Influenza",0,0,1,"Pediatric",0,1,1,0,0,0,"Moderate","Observational - other",2025,"MMWR Morb Mortal Wkly Rep",40014654,"PMC11867584","10.15585/mmwr.mm7406a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867584","Reports of Encephalopathy Among Children with Influenza-Associated Mortality - United States, 2010-11 Through 2024-25 Influenza Seasons"
67,"#1407","Grieshaber 2025","COVID",1,0,0,"Pediatric",0,1,1,0,0,0,"Moderate","Observational - other",2025,"Dtsch Arztebl Int",40101263,,"10.3238/arztebl.m2025.0032","https://pubmed.ncbi.nlm.nih.gov/40101263","The Long-Term Tolerability of BNT162b2 in Children and Adolescents (the CoVacU18 Study)"
68,"#1574","Holzwarth 2025","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2025,"Infection",39527343,"PMC11971181","10.1007/s15010-024-02427-2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11971181","PaedVacCOVID - safety of the BNT162b2 vaccine against the SARS-CoV-2 in children with and without comorbidities aged 5 to 11 years"
69,"#1900","Kim 2025","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"Low","Observational - other",2025,"J Korean Med Sci",39834222,"PMC11745927","10.3346/jkms.2025.40.e10","https://pmc.ncbi.nlm.nih.gov/articles/PMC11745927","Risk of Kawasaki Disease/Multisystem Inflammatory Syndrome Following COVID-19 Vaccination in Korean Children: A Self-Controlled Case Series Study"
70,"#7737","Kurucu 2024","COVID",1,0,0,"Immunocomp",0,0,1,1,0,1,"High","Observational - other",2024,"Turk J Pediatr",39387432,,"10.24953/turkjpediatr.2024.4512","https://pubmed.ncbi.nlm.nih.gov/39387432","Safety and efficacy of COVID-19 vaccines in children and adolescents with cancer"
72,"#7891","Lee 2024","Influenza",0,0,1,"Pediatric",0,0,1,0,0,0,"Low","Case-control",2024,"VACCINE: X",39886534,"PMC11780392","10.1016/j.jvacx.2024.100570","https://pmc.ncbi.nlm.nih.gov/articles/PMC11780392","Influenza vaccine effectiveness against influenza-associated hospitalizations in children, Hong Kong, November 2023 to June 2024"
73,"#2068","Lee 2025","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"Low","Cohort",2025,"PAEDIATRICS & CHILD HEALTH",40756534,"PMC12316524","10.1093/pch/pxae101","https://pmc.ncbi.nlm.nih.gov/articles/PMC12316524","Safety and health care utilization following COVID-19 vaccination (BNT162b2) among children and youth with juvenile idiopathic arthritis and inflammatory bowel disease: A population-based study"
74,"#7907","Lefferts 2024","RSV",0,1,0,"Pediatric",0,1,1,0,0,0,"Low","Case-control",2024,"MMWR Morb Mortal Wkly Rep",39541241,"PMC11576050","10.15585/mmwr.mm7345a1","https://pmc.ncbi.nlm.nih.gov/articles/PMC11576050","Nirsevimab Effectiveness Against Medically Attended Respiratory Syncytial Virus Illness and Hospitalization Among Alaska Native Children - Yukon-Kuskokwim Delta Region, Alaska, October 2023-June 2024"
75,"#8011","Li 2024","Influenza",0,0,1,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2024,"Vaccines",38543956,"PMC10975893","10.3390/vaccines12030321","https://pmc.ncbi.nlm.nih.gov/articles/PMC10975893","Exploratory Study of the Phase IV Immunization Schedule of Quadrivalent Influenza Split-Virion Vaccine in Children Aged 38 Years"
76,"#22825","Lim 2025","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2025,"J Allergy Clin Immunol Glob",39844915,"PMC11750530","10.1016/j.jacig.2024.100387","https://pmc.ncbi.nlm.nih.gov/articles/PMC11750530","Outcomes of pediatric patients with suspected allergies to COVID-19 vaccines"
77,"#2222","Liu 2025","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2025,"Expert Opin Drug Saf",38666296,,"10.1080/14740338.2024.2348568","https://pubmed.ncbi.nlm.nih.gov/38666296","Analysis of new-onset seizures following use of COVID-19 vaccinations in children based on VAERS"
78,"#16794","Madni 2024","COVID",1,0,0,"Pediatric",0,0,1,0,0,0,"High","Observational - other",2024,"JAMA Netw Open",39585698,"PMC11589793","10.1001/jamanetworkopen.2024.47492","https://pmc.ncbi.nlm.nih.gov/articles/PMC11589793","COVID-19 Vaccine Reactogenicity Among Young Children"
79,"#11770","Marouk 2025","RSV",0,1,0,"Pediatric",0,1,0,0,0,0,"High","Observational - other",2025,"Eur J Pediatr",40044918,,"10.1007/s00431-025-06050-7","https://pubmed.ncbi.nlm.nih.gov/40044918","Effectiveness of nirsevimab in reducing hospitalizations in emergency departments due to bronchiolitis among infants under 3months: a retrospective study"
