"id_redcap","id_covidence","study_label","article","virus","population","outcome","study_design","rob","adjusted","estimate","lower","upper","country","us","study_setting","study_period","year_start","year_end","vax_product","age_group","days_since_vax","published_year","journal","pmid","pmcid","doi","link","title"
413,"#8103","Link-Gelles 2024","Link-Gelles 2024","COVID","Immunocompromised","Hospitalization","Case-control","Low",1,36,25,46,"US",1,"VISION network","2023-2024",2023,2024,"XBB.1.5 monovalent","≥18y","7-119 d",2024,"MMWR Morb Mortal Wkly Rep",38547037,"PMC10986819","10.15585/mmwr.mm7312a5","https://pmc.ncbi.nlm.nih.gov/articles/PMC10986819","Interim Effectiveness of Updated 2023-2024 (Monovalent XBB.1.5) COVID-19 Vaccines Against COVID-19-Associated Hospitalization Among Adults Aged 18 Years with Immunocompromising Conditions - VISION Network, September 2023-February 2024"
415,"#2182","Link-Gelles 2025","Link-Gelles 2025","COVID","Immunocompromised","Hospitalization","Case-control","Low",1,40,21,54,"US",1,"Multi-center","2024-2025",2024,2025,"Multiple","≥65y","7-119 d",2025,"MMWR Morb Mortal Wkly Rep",40014628,"PMC11867580","10.15585/mmwr.mm7406a1","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867580","Interim Estimates of 2024-2025 COVID-19 Vaccine Effectiveness Among Adults Aged 18 Years - VISION and IVY Networks, September 2024-January 2025"
470,"#23468","Nguyen 2025","Nguyen 2025","COVID","Immunocompromised","Hospitalization","Case-control","Low",1,56,22.5,75,"Belgium, Germany, Italy, Spain",0,"Multi-center","2023-2024",2023,2024,"BNT162b2_XBB.1.5","≥18y","14-151 d",2025,"EClinicalMedicine",39726669,"PMC11669791","10.1016/j.eclinm.2024.102995","https://pmc.ncbi.nlm.nih.gov/articles/PMC11669791","Effectiveness of the BNT162b2 XBB.1.5-adapted vaccine against COVID-19 hospitalization related to the JN.1 variant in Europe: a test-negative case-control study using the id.DRIVE platform"
629,"#39029","Williams 2025","Williams 2025","RSV","Pregnancy","Hospitalization","Case-control","Low",1,58,28,75,"England",0,"Multi-center","2024-2025",2024,2025,"RSVPreF",,,2025,"Lancet Child Adolesc Health",40690922,,"10.1016/s2352-4642(25)00155-5","https://pubmed.ncbi.nlm.nih.gov/40690922","Bivalent prefusion F vaccination in pregnancy and respiratory syncytial virus hospitalisation in infants in the UK: results of a multicentre, test-negative, case-control study"
5,"#21721","Gentile 2025","Gentile 2025","RSV","Pregnancy","Hospitalization","Case-control","Low",1,78.7,51.4,90.7,"Argentina",0,"Multi-center","2024-2024",2024,2024,"RSVPreF",,,2025,"Pediatr Infect Dis J",40440704,,"10.1097/inf.0000000000004878","https://pubmed.ncbi.nlm.nih.gov/40440704","Maternal Immunization With RSVpreF Vaccine: Effectiveness in Preventing Respiratory Syncytial Virus-associated Hospitalizations in Infants Under 6 Months in Argentina: Multicenter Case-control Study"
12,"#23773","Pérez Marc 2025","Perez Marc 2025","RSV","Pregnancy","Hospitalization","Case-control","Low",1,71.3,53.3,82.3,"Argentina",0,"Multi-center","2024-2024",2024,2024,"RSVPreF",,,2025,"Lancet Infect Dis",40339585,,"10.1016/s1473-3099(25)00156-2","https://pubmed.ncbi.nlm.nih.gov/40339585","Real-world effectiveness of RSVpreF vaccination during pregnancy against RSV-associated lower respiratory tract disease leading to hospitalisation in infants during the 2024 RSV season in Argentina (BERNI study): a multicentre, retrospective, test-negative, case-control study"
57,"#5255","Carbajal 2024","Carbajal 2024","RSV","Infant","Hospitalization","Case-control","Low",1,83,72,90,"France",0,"Single-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"Lancet Child Adolesc Health",39208832,,"10.1016/s2352-4642(24)00171-8","https://pubmed.ncbi.nlm.nih.gov/39208832","Real-world effectiveness of nirsevimab immunisation against bronchiolitis in infants: a case-control study in Paris, France"
83,"#2751","Núñez 2025","Nunez 2025","RSV","Infant","Hospitalization","Case-control","Low",1,85.5,80.5,89.2,"Spain",0,"Multi-center","2023-2024",2023,2024,"Nirsevimab",,,2025,"Euro Surveill",39916606,,"10.2807/1560-7917.Es.2025.30.5.2400596","https://pubmed.ncbi.nlm.nih.gov/39916606","Effectiveness of catch-up and at-birth nirsevimab immunisation against RSV hospital admission in the first year of life: a population-based case-control study, Spain, 2023/24 season"
81,"#2559","Moline 2025","Moline 2025","RSV","Infant","Hospitalization","Case-control","Moderate",1,93,82,97,"US",1,"Multi-center","2017-2024",2017,2024,"Nirsevimab",,,2025,"JAMA Pediatr",39652359,"PMC11667569","10.1001/jamapediatrics.2024.5572","https://pmc.ncbi.nlm.nih.gov/articles/PMC11667569","Respiratory Syncytial Virus Disease Burden and Nirsevimab Effectiveness in Young Children From 2023-2024"
95,"#3137","Rius-Peris 2025","Rius-Peris 2025","RSV","Infant","Hospitalization","Case-control","Moderate",1,71,50,83,"Spain",0,"Multi-center","2021-2024",2021,2024,"Nirsevimab",,,2025,"Acta Paediatr",40135713,,"10.1111/apa.70066","https://pubmed.ncbi.nlm.nih.gov/40135713","Nirsevimab Immunisation Significantly Reduces Respiratory Syncytial Virus-Associated Bronchiolitis Hospitalisations and Alters Seasonal Patterns"
539,"#3434","Silva-Afonso 2025","Silva-Afonso 2025","RSV","Infant","Hospitalization","Case-control","Low",1,63.8,9.6,85.5,"Spain",0,"Single-center","2022-2024",2022,2024,"Nirsevimab",,,2025,"ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA",40467410,,"10.1016/j.eimc.2025.03.006","https://pubmed.ncbi.nlm.nih.gov/40467410","Effectiveness of immunization strategies for preventing severe acute respiratory infection during the 2023/2024 season in a Spanish health department"
74,"#7907","Lefferts 2024","Lefferts 2024","RSV","Infant","Hospitalization","Case-control","Low",1,89,32,98,"US",1,"Multi-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"MMWR Morb Mortal Wkly Rep",39541241,"PMC11576050","10.15585/mmwr.mm7345a1","https://pmc.ncbi.nlm.nih.gov/articles/PMC11576050","Nirsevimab Effectiveness Against Medically Attended Respiratory Syncytial Virus Illness and Hospitalization Among Alaska Native Children - Yukon-Kuskokwim Delta Region, Alaska, October 2023-June 2024"
51,"#13170","Ares-Gómez 2024","Ares-Gomez 2024","RSV","Infant","Hospitalization","Cohort","Low",1,82,65.6,90.2,"Spain",0,"Multi-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"Lancet Infect Dis",38701823,,"10.1016/s1473-3099(24)00215-9","https://pubmed.ncbi.nlm.nih.gov/38701823","Effectiveness and impact of universal prophylaxis with nirsevimab in infants against hospitalisation for respiratory syncytial virus in Galicia, Spain: initial results of a population-based longitudinal study"
52,"#4837","Barbas Del Buey 2024","Barbas Del Buey 2024","RSV","Infant","Hospitalization","Cohort","Low",1,87.6,67.7,95.3,"Spain",0,"Multi-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"Front Public Health",39220460,"PMC11361977","10.3389/fpubh.2024.1441786","https://pmc.ncbi.nlm.nih.gov/articles/PMC11361977","The effectiveness of nirsevimab in reducing the burden of disease due to respiratory syncytial virus (RSV) infection over time in the Madrid region (Spain): a prospective population-based cohort study"
60,"#5560","Coma 2024","Coma 2024","RSV","Infant","Hospitalization","Cohort","Low",1,87.6,82.1,91.4,"Spain",0,,"2023-2024",2023,2024,"Nirsevimab",,,2024,"Arch Dis Child",38857952,"PMC11347209","10.1136/archdischild-2024-327153","https://pmc.ncbi.nlm.nih.gov/articles/PMC11347209","Effectiveness of nirsevimab immunoprophylaxis against respiratory syncytial virus-related outcomes in hospital and primary care settings: a retrospective cohort study in infants in Catalonia (Spain)"
104,"#3727","Torres 2025","Torres 2025","RSV","Infant","Hospitalization","Cohort","Low",1,76.41,72.57,79.72,"Chile",0,"Multi-center","2019-2024",2019,2024,"Nirsevimab",,,2025,"Lancet Infect Dis",40513593,,"10.1016/s1473-3099(25)00233-6","https://pubmed.ncbi.nlm.nih.gov/40513593","Effectiveness and impact of nirsevimab in Chile during the first season of a national immunisation strategy against RSV (NIRSE-CL): a retrospective observational study"
89,"#2956","Perramon-Malavez 2025","Perramon-Malavez 2025","RSV","Infant","Hospitalization","Cohort","Low",1,74,61,83,"Spain, Italy, England",0,"Multi-center","2018-2024",2018,2024,"Nirsevimab",,,2025,"The Lancet Regional Health - Europe",40950943,"PMC12426819","10.1016/j.lanepe.2025.101334","https://pmc.ncbi.nlm.nih.gov/articles/PMC12426819","Real-world impact of nirsevimab immunisation against respiratory disease on emergency department attendances and admissions among infants: a multinational retrospective analysis"
645,"#40039","Jabagi 2025","Jabagi 2025","RSV","Infant","Hospitalization","Cohort","Low",1,65,61,69,"France",0,"Nationwide","2023-2024",2023,2024,"Nirsevimab",,,2025,"NEJM evidence",39998305,,"10.1056/EVIDoa2400275","https://pubmed.ncbi.nlm.nih.gov/39998305","Nirsevimab Effectiveness at Preventing RSV-Related Hospitalization in Infants."
52,"#4837","Barbas Del Buey 2024","Barbas Del Buey 2024","RSV","Infant","ICU admission","Cohort","Low",1,90.7,-3.6,99.2,"Spain",0,"Multi-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"Front Public Health",39220460,"PMC11361977","10.3389/fpubh.2024.1441786","https://pmc.ncbi.nlm.nih.gov/articles/PMC11361977","The effectiveness of nirsevimab in reducing the burden of disease due to respiratory syncytial virus (RSV) infection over time in the Madrid region (Spain): a prospective population-based cohort study"
60,"#5560","Coma 2024","Coma 2024","RSV","Infant","ICU admission","Cohort","Low",1,90.1,76.3,95.9,"Spain",0,,"2023-2024",2023,2024,"Nirsevimab",,,2024,"Arch Dis Child",38857952,"PMC11347209","10.1136/archdischild-2024-327153","https://pmc.ncbi.nlm.nih.gov/articles/PMC11347209","Effectiveness of nirsevimab immunoprophylaxis against respiratory syncytial virus-related outcomes in hospital and primary care settings: a retrospective cohort study in infants in Catalonia (Spain)"
88,"#2957","Perramon-Malavez 2025","Perramon-Malavez 2025","RSV","Infant","ICU admission","Cohort","Low",1,85,72,93,"Spain",0,"Population-based","2023-2024",2023,2024,"Nirsevimab",,,2025,"Pediatr Infect Dis J",39823640,,"10.1097/inf.0000000000004672","https://pubmed.ncbi.nlm.nih.gov/39823640","Effectiveness of Nirsevimab Immunoprophylaxis Against Respiratory Syncytial Virus-related Outcomes in Hospital Care Settings: A Seasonal Cohort Study of Infants in Catalonia, Spain"
104,"#3727","Torres 2025","Torres 2025","RSV","Infant","ICU admission","Cohort","Low",1,84.94,79.47,88.95,"Chile",0,"Multi-center","2019-2024",2019,2024,"Nirsevimab",,,2025,"Lancet Infect Dis",40513593,,"10.1016/s1473-3099(25)00233-6","https://pubmed.ncbi.nlm.nih.gov/40513593","Effectiveness and impact of nirsevimab in Chile during the first season of a national immunisation strategy against RSV (NIRSE-CL): a retrospective observational study"
645,"#40039","Jabagi 2025","Jabagi 2025","RSV","Infant","ICU admission","Cohort","Low",1,74,56,85,"France",0,"Nationwide","2023-2024",2023,2024,"Nirsevimab",,,2025,"NEJM evidence",39998305,,"10.1056/EVIDoa2400275","https://pubmed.ncbi.nlm.nih.gov/39998305","Nirsevimab Effectiveness at Preventing RSV-Related Hospitalization in Infants."
57,"#5255","Carbajal 2024","Carbajal 2024","RSV","Infant","Medically-attended infection","Case-control","Low",1,83,71,90,"France",0,"Single-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"Lancet Child Adolesc Health",39208832,,"10.1016/s2352-4642(24)00171-8","https://pubmed.ncbi.nlm.nih.gov/39208832","Real-world effectiveness of nirsevimab immunisation against bronchiolitis in infants: a case-control study in Paris, France"
81,"#2559","Moline 2025","Moline 2025","RSV","Infant","Medically-attended infection","Case-control","Moderate",1,89,79,94,"US",1,"Multi-center","2017-2024",2017,2024,"Nirsevimab",,,2025,"JAMA Pediatr",39652359,"PMC11667569","10.1001/jamapediatrics.2024.5572","https://pmc.ncbi.nlm.nih.gov/articles/PMC11667569","Respiratory Syncytial Virus Disease Burden and Nirsevimab Effectiveness in Young Children From 2023-2024"
74,"#7907","Lefferts 2024","Lefferts 2024","RSV","Infant","Medically-attended infection","Case-control","Low",1,76,42,90,"US",1,"Multi-center","2023-2024",2023,2024,"Nirsevimab",,,2024,"MMWR Morb Mortal Wkly Rep",39541241,"PMC11576050","10.15585/mmwr.mm7345a1","https://pmc.ncbi.nlm.nih.gov/articles/PMC11576050","Nirsevimab Effectiveness Against Medically Attended Respiratory Syncytial Virus Illness and Hospitalization Among Alaska Native Children - Yukon-Kuskokwim Delta Region, Alaska, October 2023-June 2024"
551,"#10420","Surie 2024","Surie 2024","RSV","Elder","Hospitalization","Case-control","Low",1,75,50,87,"US",1,"Multi-center","2023-2024",2023,2024,"Abrysvo and Arexvy","≥60y",,2024,"Jama",39230920,"PMC11375516","10.1001/jama.2024.15775","https://pmc.ncbi.nlm.nih.gov/articles/PMC11375516","RSV Vaccine Effectiveness Against Hospitalization Among US Adults 60 Years and Older"
561,"#10507","Tartof 2024","Tartof 2024","RSV","Elder","Hospitalization","Case-control","Low",1,90,20,99,"US",1,"Kaiser Permanente Southern California","2023-2024",2023,2024,"Abrysvo","≥60y",,2024,"JAMA Netw Open",39671195,"PMC11645642","10.1001/jamanetworkopen.2024.50832","https://pmc.ncbi.nlm.nih.gov/articles/PMC11645642","Estimated Vaccine Effectiveness for Respiratory Syncytial Virus-Related Lower Respiratory Tract Disease"
494,"#9227","Payne 2024","Payne 2024","RSV","Elder","Hospitalization","Case-control","Low",1,80,71,85,"US",1,"Multi-center","2023-2024",2023,2024,"Abrysvo and Arexvy","≥60y",,2024,"Lancet",39426837,,"10.1016/s0140-6736(24)01738-0","https://pubmed.ncbi.nlm.nih.gov/39426837","Respiratory syncytial virus (RSV) vaccine effectiveness against RSV-associated hospitalisations and emergency department encounters among adults aged 60 years and older in the USA, October, 2023, to March, 2024: a test-negative design analysis"
102,"#19044","Tenforde 2024","Tenforde 2024","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,58,44,69,"US",1,"Multi-center","2023-2024",2023,2024,"IIV",,,2024,"Clin Infect Dis",39656838,"PMC12287760","10.1093/cid/ciae597","https://pmc.ncbi.nlm.nih.gov/articles/PMC12287760","Influenza vaccine effectiveness against hospitalizations and emergency department or urgent care encounters for children, adolescents, and adults during the 2023-2024 season, United States"
99,"#24371","Shinjoh 2025","Shinjoh 2025","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,73,57,83,"Japan",0,"Multi-center","2024-2025",2024,2025,"IIV",,,2025,"Vaccine",40578174,,"10.1016/j.vaccine.2025.127429","https://pubmed.ncbi.nlm.nih.gov/40578174","Influenza vaccination in Japanese children, 2024/25: Effectiveness of inactivated vaccine and limited use of newly introduced live-attenuated vaccine"
11,"#9276","Pérez-Gimeno 2024","Perez-Gimeno 2024","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,77,21,93,"Spain",0,"SiVIRA database","2023-2024",2023,2024,"IIV",,,2024,"Euro Surveill",39364601,,"10.2807/1560-7917.Es.2024.29.40.2400618","https://pubmed.ncbi.nlm.nih.gov/39364601","Effectiveness of influenza vaccines in children aged 6 to 59 months: a test-negative case-control study at primary care and hospital level, Spain 2023/24"
295,"#6300","Frutos 2024, NVSN","Frutos 2024","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,61,40,75,"US",1,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
295,"#6300","Frutos 2024, VISION","Frutos 2024","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,52,16,72,"US",1,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
296,"#1265","Frutos 2025, NVSN","Frutos 2025","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,63,41,76,"US",1,"Multi-center","2024-2025",2024,2025,"Seasonal",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
296,"#1265","Frutos 2025, VISION","Frutos 2025","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,78,60,89,"US",1,"Multi-center","2024-2025",2024,2025,"Seasonal",,,2025,"MMWR Morb Mortal Wkly Rep",40014791,"PMC11867582","10.15585/mmwr.mm7406a2","https://pmc.ncbi.nlm.nih.gov/articles/PMC11867582","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness - Four Vaccine Effectiveness Networks, United States, October 2024-February 2025"
406,"#22737","Gharpure 2025, Australia","Lewis 2025","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,88,77,93,"US",1,"Multi-center","2023-2024",2023,2024,"Not stated",,,2025,"J Infect Dis",40198276,,"10.1093/infdis/jiaf185","https://pubmed.ncbi.nlm.nih.gov/40198276","Vaccine Effectiveness Against Influenza A(H1N1), A(H3N2), and B-Associated Hospitalizations-United States, September 1, 2023-May 31, 2024"
406,"#22737","Gharpure 2025, Brazil","Lewis 2025","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,46,14,66,"US",1,"Multi-center","2023-2024",2023,2024,"Not stated",,,2025,"J Infect Dis",40198276,,"10.1093/infdis/jiaf185","https://pubmed.ncbi.nlm.nih.gov/40198276","Vaccine Effectiveness Against Influenza A(H1N1), A(H3N2), and B-Associated Hospitalizations-United States, September 1, 2023-May 31, 2024"
406,"#22737","Gharpure 2025, Chile","Lewis 2025","Influenza","Infant/Child","Hospitalization","Case-control","Low",1,71,41,86,"US",1,"Multi-center","2023-2024",2023,2024,"Not stated",,,2025,"J Infect Dis",40198276,,"10.1093/infdis/jiaf185","https://pubmed.ncbi.nlm.nih.gov/40198276","Vaccine Effectiveness Against Influenza A(H1N1), A(H3N2), and B-Associated Hospitalizations-United States, September 1, 2023-May 31, 2024"
102,"#19044","Tenforde 2024","Tenforde 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,58,56,60,"US",1,"Multi-center","2023-2024",2023,2024,"IIV",,,2024,"Clin Infect Dis",39656838,"PMC12287760","10.1093/cid/ciae597","https://pmc.ncbi.nlm.nih.gov/articles/PMC12287760","Influenza vaccine effectiveness against hospitalizations and emergency department or urgent care encounters for children, adolescents, and adults during the 2023-2024 season, United States"
11,"#9276","Pérez-Gimeno 2024","Perez-Gimeno 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,70,51,81,"Spain",0,"SiVIRA database","2023-2024",2023,2024,"IIV",,,2024,"Euro Surveill",39364601,,"10.2807/1560-7917.Es.2024.29.40.2400618","https://pubmed.ncbi.nlm.nih.gov/39364601","Effectiveness of influenza vaccines in children aged 6 to 59 months: a test-negative case-control study at primary care and hospital level, Spain 2023/24"
99,"#24371","Shinjoh 2025","Shinjoh 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,57,24,75,"Japan",0,"Multi-center","2024-2025",2024,2025,"IIV",,,2025,"Vaccine",40578174,,"10.1016/j.vaccine.2025.127429","https://pubmed.ncbi.nlm.nih.gov/40578174","Influenza vaccination in Japanese children, 2024/25: Effectiveness of inactivated vaccine and limited use of newly introduced live-attenuated vaccine"
255,"#5595","Costantino 2024","Costantino 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,38,-1,62,"Italy",0,"RespiVirNet network","2023-2024",2023,2024,"IIV",,,2024,"Vaccines",38543939,"PMC10976042","10.3390/vaccines12030305","https://pmc.ncbi.nlm.nih.gov/articles/PMC10976042","Mid-Term Estimates of Influenza Vaccine Effectiveness against the A(H1N1)pdm09 Prevalent Circulating Subtype in the 2023/24 Season: Data from the Sicilian RespiVirNet Surveillance System"
295,"#6300","Frutos 2024, NVSN","Frutos 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,59,48,67,"US",1,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
295,"#6300","Frutos 2024, US Flu VE","Frutos 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,67,48,80,"US",1,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
295,"#6300","Frutos 2024, VISION","Frutos 2024","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,60,57,64,"US",1,"Multi-center","2023-2024",2023,2024,"Seasonal",,,2024,"MMWR Morb Mortal Wkly Rep",38421935,"PMC10907036","10.15585/mmwr.mm7308a3","https://pmc.ncbi.nlm.nih.gov/articles/PMC10907036","Interim Estimates of 2023-24 Seasonal Influenza Vaccine Effectiveness - United States"
278,"#1117","Erdwiens 2025","Erdwiens 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","Low",1,58,13,80,"Germany",0,"Nationwide","2024-2025",2024,2025,"Not stated",,,2025,"Influenza Other Respir Viruses",40328669,"PMC12055342","10.1111/irv.70115","https://pmc.ncbi.nlm.nih.gov/articles/PMC12055342","Interim Estimates of 2024-2025 Seasonal Influenza Vaccine Effectiveness in Germany-Data From Primary Care and Hospital Sentinel Surveillance"
377,"#1921","Kissling 2025","Kissling 2025","Influenza","Infant/Child","Medically-attended infection","Case-control","High",1,70,61,78,"Europe",0,"VEBIS network","2023-2024",2023,2024,"Seasonal",,,2025,"Euro Surveill",40511473,,"10.2807/1560-7917.Es.2025.30.23.2500011","https://pubmed.ncbi.nlm.nih.gov/40511473","Influenza vaccine effectiveness in Europe and the birth cohort effect against influenza A(H1N1)pdm09: VEBIS primary care multicentre study, 2023/24"
